title,authors,year,journal,url,cited
"Effects of Partial Mortality on Growth, Reproduction and Total Lipid Content in the Elkhorn Coral Acropora palmata","VM Piñón-González, AT Banaszak - Frontiers in Marine Science, 2018",,frontiersin.org,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2018.00396/full,9
"Elevated Temperature Affects Development, Survivorship, and Settlement of the Elkhorn Coral, Acropora palmata (Lamarck 1816)","CJ Randall, AM Szmant - The Biological Bulletin, 2009",,journals.uchicago.edu,https://www.journals.uchicago.edu/doi/abs/10.1086/BBLv217n3p269,196
Restoration of critically endangered elkhorn coral (Acropora palmata) populations using larvae reared from wild-caught gametes,"VF Chamberland, MJA Vermeij, M Brittsan… - Global Ecology and …, 2015",,Elsevier,https://www.sciencedirect.com/science/article/pii/S2351989415001018,129
Long‐term survival and colony growth of Acropora palmata fragments transplanted by volunteers for restoration,"GE Forrester, MA Ferguson… - Aquatic …, 2014",,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/aqc.2374,51
"Fragmentation in the branching coral Acropora palmata (Lamarck): growth, survivorship, and reproduction of colonies and fragments","D Lirman - Journal of Experimental Marine Biology and Ecology, 2000",,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022098100002057,356
The Elkhorn Coral Acropora palmata: A Pillar of Coral Reef Ecosystems,M Lujan,,aquahoy.com,https://aquahoy.com/elkhorn-coral-acropora-palmata-coral-reef-ecosystems/,0
Human Pathogen Shown to Cause Disease in the Threatened Eklhorn Coral Acropora palmata,"KP Sutherland, S Shaban, JL Joyner, JW Porter… - PloS one, 2011",,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0023468,224
"Thermal stress exposure, bleaching response, and mortality in the threatened coral Acropora palmata","DE Williams, MW Miller, AJ Bright, RE Pausch… - Marine pollution …, 2017",,Elsevier,https://www.sciencedirect.com/science/article/pii/S0025326X17305829,44
Reestablishing a stepping-stone population of the threatened elkhorn coral Acropora palmata to aid regional recovery,"IB Kuffner, A Stathakopoulos, LT Toth… - Endangered Species …, 2020",,int-res.com,https://www.int-res.com/abstracts/esr/v43/p461-473,36
"The threatened Atlantic elkhorn coral, Acropora palmata: Population dynamics and their policy implications",T Vardi,2011,,https://search.proquest.com/openview/fb6d1a8ab3cdfa26836c96048a21992f/1?pq-origsite=gscholar&cbl=18750,8
Restoration of critically endangered elkhorn coral (Acropora palmata) using sexually produced recruits,"VF Chamberland, D Petersen… - Joint International …, 2012",,repository.si.edu,https://repository.si.edu/bitstreams/ced3e1ba-3390-4134-a4de-0f53041b44af/download#page=45,9
Spatio‐temporal dynamics of the threatened elkhorn coral Acropora palmata: Implications for conservation,"YH Chen, KW Shertzer… - Diversity and …, 2020",,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/ddi.13143,13
"Population dynamics of hurricane-generated fragments of elkhorn coral Acropora palmata (Lamarck, 1816)",ALO Prosper,2005,,https://search.proquest.com/openview/9b6c651835cf541db75547a63926e0a6/1?pq-origsite=gscholar&cbl=18750&diss=y,6
"Elevated Temperature Effects on Larval Development, Survivorship, and Settlement of the Elkhorn Coral, Acropora Palmata",CJ Randall,2009,,http://dl.uncw.edu/etd/2009-1/r1/randallc/carlyrandall.pdf,0
Patterns of damage to the branching coral Acropora palmata following Hurricane Andrew: damage and survivorship of hurricane-generated asexual recruits,"D Lirman, P Fong - Journal of Coastal Research, 1997",,JSTOR,https://www.jstor.org/stable/4298591,87
"Population dynamics of threatened elkhorn coral in the northern Florida Keys, USA","T Vardi, DE Williams, SA Sandin - Endangered Species Research, 2012",,int-res.com,https://www.int-res.com/abstracts/esr/v19/p157-169,34
"The culture, transplantation and storage of Montastraea faveolata, Acropora cervicornis and Acropora palmata: what we have learned so far","LC Becker, E Mueller - Bulletin of marine science, 2001",,ingentaconnect.com,https://www.ingentaconnect.com/contentone/umrsmas/bullmar/2001/00000069/00000002/art00050,65
"Understanding and predicting coral disease across scales:: white pox disease and the critically-endangered elkhorn coral, acropora palmata",AP Griffin,2018,,https://openscholar.uga.edu/record/9221,1
"The etiology of white pox, a lethal disease of the Caribbean elkhorn coral, Acropora palmata","KL Patterson, JW Porter, KB Ritchie, SW Polson… - Proceedings of the …, 2002",,pnas.org,https://www.pnas.org/doi/abs/10.1073/pnas.092260099,676
Transcriptomic responses to heat stress and bleaching in the elkhorn coral Acropora palmata,"MK DeSalvo, S Sunagawa, CR Voolstra… - … Ecology Progress Series, 2010",,int-res.com,https://www.int-res.com/abstracts/meps/v402/p97-113,281
