Coral_ID,Genet_ID,Site_ID,Time_interval,Condition,Calcif_mg_cm2_d,del_SA_mm2_d,del_height_mm_d,,,,,,,
540,DT1,PLW,1,live,6.17,11.9,0.092,,,,,,,
541,CN2,PLW,1,live,7.22,13.5,0.067,,,,,,,
542,SN1,PLW,1,live,7.73,18.3,0.078,,,,,,,
543,DT1,PLW,1,live,11.52,10.9,0.138,,,,,,,
544,CF4,PLW,1,live,7.20,14.3,0.089,,,,,,,
545,HS1,PLW,1,live,10.11,16.7,0.159,,,,,,,
546,HS1,PLW,1,live,10.67,11.0,0.137,,,,,,,
547,CF4,PLW,1,live,6.61,12.3,0.073,,,,,,,
548,CN2,PLW,1,live,10.75,22.4,0.196,,,,,,,
549,SN1,PLW,1,live,5.38,8.7,-0.023,,,,,,,
555,ML2,PLW,1,live,13.12,14.7,0.135,,,,,,,
558,ML2,PLW,1,live,10.77,13.6,0.141,,,,,,,
520,SN1,PLS,1,live,5.92,13.4,0.082,,,,,,,
521,HS1,PLS,1,live,7.13,12.4,0.056,,,,,,,
522,SN1,PLS,1,live,8.34,16.8,0.103,,,,,,,
523,CF4,PLS,1,live,5.26,10.1,0.117,,,,,,,
524,CN2,PLS,1,live,7.33,7.7,0.102,,,,,,,
525,DT1,PLS,1,live,7.87,12.7,0.136,,,,,,,
526,DT1,PLS,1,live,9.23,10.6,0.104,,,,,,,
527,CF4,PLS,1,live,5.77,8.9,0.093,,,,,,,
528,CN2,PLS,1,live,13.19,21.8,0.163,,,,,,,
529,HS1,PLS,1,live,14.16,18.9,0.102,,,,,,,
550,ML2,PLS,1,live,8.03,10.6,0.093,,,,,,,
551,ML2,PLS,1,live,10.70,9.6,0.131,,,,,,,
530,HS1,SMK,1,live,2.54,-0.4,-0.022,,,,,,,
531,HS1,SMK,1,dead,,,,,,,,,,
532,SN1,SMK,1,dead,,,,,,,,,,
533,CN2,SMK,1,live,4.55,0.0,0.010,,,,,,,
534,CN2,SMK,1,live,6.07,-0.5,0.007,,,,,,,
535,CF4,SMK,1,live,6.23,3.4,0.024,,,,,,,
536,SN1,SMK,1,live,7.14,8.3,0.063,,,,,,,
537,CF4,SMK,1,dead,,,,,,,,,,
538,ML2,SMK,1,live,7.80,6.3,0.049,,,,,,,
539,ML2,SMK,1,dead,,,,,,,,,,
500,CN2,CRK,1,live,3.80,0.9,0.027,,,,,,,
501,HS1,CRK,1,live,2.97,0.7,-0.043,,,,,,,
502,CN2,CRK,1,live,1.42,2.0,-0.029,,,,,,,
503,CF4,CRK,1,live,2.39,-0.6,-0.036,,,,,,,
504,HS1,CRK,1,live,0.76,-3.4,-0.027,,,,,,,
505,SN1,CRK,1,live,4.79,0.5,0.013,,,,,,,
506,SN1,CRK,1,live,4.00,2.0,0.026,,,,,,,
507,CF4,CRK,1,lost,,,,,,,,,,
508,ML2,CRK,1,live,5.48,6.5,0.036,,,,,,,
509,ML2,CRK,1,live,8.39,4.9,0.033,,,,,,,
510,HS1,FWY,1,live,8.92,7.6,0.074,,,,,,,
511,CF4,FWY,1,live,3.03,-0.1,0.017,,,,,,,
512,CN2,FWY,1,live,4.81,0.7,0.043,,,,,,,
513,ML2,FWY,1,dead,,,,,,,,,,
514,CF4,FWY,1,live,5.79,6.4,0.065,,,,,,,
515,HS1,FWY,1,live,6.39,5.6,0.012,,,,,,,
516,SN1,FWY,1,live,3.18,1.9,0.022,,,,,,,
518,CN2,FWY,1,dead,,,,,,,,,,
519,ML2,FWY,1,live,3.27,-1.8,0.004,,,,,,,
999,SN1,FWY,1,lost,,,,,,,,,,
540,DT1,PLW,2,live,7.94,28.8,0.173,,,,,,,
541,CN2,PLW,2,live,7.10,17.1,0.132,,,,,,,
542,SN1,PLW,2,live,5.21,18.5,0.144,,,,,,,
543,DT1,PLW,2,live,9.30,19.8,0.187,,,,,,,
544,CF4,PLW,2,live,6.15,12.2,0.115,,,,,,,
545,HS1,PLW,2,live,9.25,37.2,0.238,,,,,,,
546,HS1,PLW,2,live,10.98,17.5,0.214,,,,,,,
547,CF4,PLW,2,live,6.15,16.7,0.127,,,,,,,
548,CN2,PLW,2,live,8.81,21.9,0.215,,,,,,,
549,SN1,PLW,2,live,2.15,4.9,0.098,,,,,,,
555,ML2,PLW,2,live,6.50,13.5,0.191,,,,,,,
558,ML2,PLW,2,live,6.52,17.7,0.181,,,,,,,
520,SN1,PLS,2,live,3.82,10.6,0.070,,,,,,,
521,HS1,PLS,2,live,8.29,19.9,0.160,,,,,,,
522,SN1,PLS,2,live,5.61,21.0,0.145,,,,,,,
523,CF4,PLS,2,live,6.04,11.7,0.101,,,,,,,
524,CN2,PLS,2,live,9.50,22.5,0.175,,,,,,,
525,DT1,PLS,2,live,6.54,16.3,0.215,,,,,,,
526,DT1,PLS,2,live,6.96,14.3,0.159,,,,,,,
527,CF4,PLS,2,live,5.58,13.2,0.106,,,,,,,
528,CN2,PLS,2,live,9.75,29.3,0.159,,,,,,,
529,HS1,PLS,2,live,8.36,14.3,0.205,,,,,,,
550,ML2,PLS,2,live,7.04,15.7,0.197,,,,,,,
551,ML2,PLS,2,live,8.62,21.7,0.220,,,,,,,
530,HS1,SMK,2,live,10.52,4.3,0.097,,,,,,,
531,HS1,SMK,2,dead,,,,,,,,,,
532,SN1,SMK,2,dead,,,,,,,,,,
533,CN2,SMK,2,dead,,,,,,,,,,
534,CN2,SMK,2,live,8.06,3.0,0.066,,,,,,,
535,CF4,SMK,2,live,3.21,1.3,0.010,,,,,,,
536,SN1,SMK,2,live,3.46,3.8,0.037,,,,,,,
537,CF4,SMK,2,dead,,,,,,,,,,
538,ML2,SMK,2,dead,,,,,,,,,,
539,ML2,SMK,2,dead,,,,,,,,,,
500,CN2,CRK,2,live,5.02,6.3,0.032,,,,,,,
501,HS1,CRK,2,live,3.24,3.1,0.083,,,,,,,
502,CN2,CRK,2,live,4.59,4.4,0.068,,,,,,,
503,CF4,CRK,2,live,2.14,1.1,0.036,,,,,,,
504,HS1,CRK,2,live,4.38,2.9,0.065,,,,,,,
505,SN1,CRK,2,live,4.85,2.4,0.053,,,,,,,
506,SN1,CRK,2,live,4.51,6.5,0.052,,,,,,,
507,CF4,CRK,2,lost,,,,,,,,,,
508,ML2,CRK,2,live,5.39,7.2,0.097,,,,,,,
509,ML2,CRK,2,live,6.26,8.7,0.068,,,,,,,
510,HS1,FWY,2,live,3.10,4.5,-0.015,,,,,,,
