treatment,nursery,line,species,depth,coral.id,colony,harvest.year,year,survival,colony.group,colony.depth,colony.year
CastawayYear 1,Castaway,11,ACER,10.5,9,266,2,Year 1,1,ACER1,ACER110.5,ACER1Year 1
CastawayYear 2,Castaway,11,ACER,10.5,9,266,2,Year 2,1,ACER1,ACER110.5,ACER1Year 2
CastawayYear 3,Castaway,11,ACER,10.5,9,266,2,Year 3,1,ACER1,ACER110.5,ACER1Year 3
CastawayYear 1,Castaway,11,ACER,10.5,15,266,Not Harvested,Year 1,1,ACER1,ACER110.5,ACER1Year 1
CastawayYear 2,Castaway,11,ACER,10.5,15,266,,Year 2,0,ACER1,ACER110.5,ACER1Year 2
CastawayYear 3,Castaway,11,ACER,10.5,15,266,,Year 3,0,ACER1,ACER110.5,ACER1Year 3
CastawayYear 1,Castaway,11,APAL,10.5,58,251,Not Harvested,Year 1,1,Midway,Midway10.5,MidwayYear 1
CastawayYear 2,Castaway,11,APAL,10.5,58,251,Not Harvested,Year 2,1,Midway,Midway10.5,MidwayYear 2
CastawayYear 3,Castaway,11,APAL,10.5,58,251,Not Harvested,Year 3,1,Midway,Midway10.5,MidwayYear 3
CastawayYear 1,Castaway,11,APAL,10.5,61,251,2,Year 1,1,Midway,Midway10.5,MidwayYear 1
CastawayYear 2,Castaway,11,APAL,10.5,61,251,2,Year 2,1,Midway,Midway10.5,MidwayYear 2
CastawayYear 3,Castaway,11,APAL,10.5,61,251,2,Year 3,1,Midway,Midway10.5,MidwayYear 3
CastawayYear 1,Castaway,11,ACER,10.5,102,548,2,Year 1,1,ACER1,ACER110.5,ACER1Year 1
CastawayYear 2,Castaway,11,ACER,10.5,102,548,2,Year 2,1,ACER1,ACER110.5,ACER1Year 2
CastawayYear 3,Castaway,11,ACER,10.5,102,548,2,Year 3,1,ACER1,ACER110.5,ACER1Year 3
CastawayYear 1,Castaway,11,ACER,10.5,103,548,2,Year 1,1,ACER1,ACER110.5,ACER1Year 1
CastawayYear 2,Castaway,11,ACER,10.5,103,548,2,Year 2,1,ACER1,ACER110.5,ACER1Year 2
CastawayYear 3,Castaway,11,ACER,10.5,103,548,2,Year 3,1,ACER1,ACER110.5,ACER1Year 3
CastawayYear 1,Castaway,11,APAL,10.5,133,372,Not Harvested,Year 1,1,Rocky2,Rocky210.5,Rocky2Year 1
CastawayYear 2,Castaway,11,APAL,10.5,133,372,Not Harvested,Year 2,1,Rocky2,Rocky210.5,Rocky2Year 2
CastawayYear 3,Castaway,11,APAL,10.5,133,372,Not Harvested,Year 3,1,Rocky2,Rocky210.5,Rocky2Year 3
CastawayYear 1,Castaway,11,APAL,10.5,134,372,2,Year 1,1,Rocky2,Rocky210.5,Rocky2Year 1
CastawayYear 2,Castaway,11,APAL,10.5,134,372,2,Year 2,1,Rocky2,Rocky210.5,Rocky2Year 2
