Site_ID,Latitude,Longitude,Coral_ID,Genet_ID,Time_interval,Calcif_mg_cm2_d,Calcif_del_SA_cm2_hy,Calcif_del_ht_mm_hy,Condition
SFR,17.78408,-64.61416,164,BI1,1,11.95,38.7,19.6,alive
NWR,17.79081,-64.62122,186,BI1,2,8.42,95.5,17.6,alive
SFR,17.78408,-64.61416,166,BI5,3,5.58,211.1,16,alive
NWR,17.79081,-64.62122,186,BI1,1,10.02,43.1,15.8,alive
NER,17.78967,-64.61143,170,BI3,1,6.94,19.9,15.5,alive
SFR,17.78408,-64.61416,116,BI2,2,5.88,31.2,15.1,alive
NER,17.78967,-64.61143,182,BI1,1,5.17,38.1,14.8,alive
NWR,17.79081,-64.62122,178,BI4,4,7.44,221.5,12.3,alive
NWR,17.79081,-64.62122,117,BI5,4,1.86,72.2,10.5,broke_ht_ok
NWR,17.79081,-64.62122,117,BI5,3,8.46,242.2,10.2,alive
NWR,17.79081,-64.62122,175,BI1,3,-0.22,-37.9,-3.8,dead
NER,17.78967,-64.61143,170,BI3,2,0.62,-0.3,-5.4,broke
SFR,17.78408,-64.61416,185,BI3,1,2.84,-19.2,-19.9,dead
NER,17.78967,-64.61143,167,BI3,1,-3.23,-15.2,-20,dead
NWR,17.79081,-64.62122,114,BI3,1,-1.64,-16.7,-23.2,dead
NER,17.78967,-64.61143,174,BI4,3,0.71,-5.6,-25.5,broke
NWR,17.79081,-64.62122,120,BI3,1,1,-14.5,-28.1,dead
NER,17.78967,-64.61143,177,BI4,1,-2.32,-17.7,-28.1,dead
SFR,17.78408,-64.61416,119,BI5,1,2.46,-13.9,-31.1,dead
NWR,17.79081,-64.62122,173,BI4,1,-1.05,-19.9,-31.7,dead
NWR,17.79081,-64.62122,172,BI2,1,-0.72,-20,-31.8,dead
NER,17.78967,-64.61143,115,BI2,1,-2.17,-21.2,-32.2,dead
NWR,17.79081,-64.62122,111,BI2,1,1.65,-24.4,-35,dead
NER,17.78967,-64.61143,168,BI5,1,-4.45,-19.5,-36.5,dead
SFR,17.78408,-64.61416,112,BI2,1,-0.13,-23.3,-38.7,dead
NER,17.78967,-64.61143,181,BI1,1,-2.69,-18.8,-40.9,dead
NER,17.78967,-64.61143,113,BI2,1,-3.11,-17.3,-44.9,dead
SFR,17.78408,-64.61416,187,BI3,4,3.78,73.8,-49.3,broke
NWR,17.79081,-64.62122,111,BI2,2,,,,dead
NWR,17.79081,-64.62122,114,BI3,2,,,,dead
NWR,17.79081,-64.62122,120,BI3,2,,,,dead
NWR,17.79081,-64.62122,172,BI2,2,,,,dead
NWR,17.79081,-64.62122,173,BI4,2,,,,dead
NWR,17.79081,-64.62122,111,BI2,3,,,,dead
NWR,17.79081,-64.62122,114,BI3,3,,,,dead
NWR,17.79081,-64.62122,120,BI3,3,,,,dead
NWR,17.79081,-64.62122,172,BI2,3,,,,dead
NWR,17.79081,-64.62122,173,BI4,3,,,,dead
NWR,17.79081,-64.62122,111,BI2,4,,,,dead
NWR,17.79081,-64.62122,114,BI3,4,,,,dead
NWR,17.79081,-64.62122,120,BI3,4,,,,dead
NWR,17.79081,-64.62122,172,BI2,4,,,,dead
NWR,17.79081,-64.62122,173,BI4,4,,,,dead
NWR,17.79081,-64.62122,175,BI1,4,,,,dead
SFR,17.78408,-64.61416,112,BI2,2,,,,dead
SFR,17.78408,-64.61416,119,BI5,2,,,,dead
SFR,17.78408,-64.61416,185,BI3,2,,,,dead
SFR,17.78408,-64.61416,112,BI2,3,,,,dead
SFR,17.78408,-64.61416,119,BI5,3,,,,dead
SFR,17.78408,-64.61416,185,BI3,3,,,,dead
SFR,17.78408,-64.61416,112,BI2,4,,,,dead
SFR,17.78408,-64.61416,119,BI5,4,,,,dead
SFR,17.78408,-64.61416,180,BI4,4,,,,dead
SFR,17.78408,-64.61416,185,BI3,4,,,,dead
NER,17.78967,-64.61143,113,BI2,2,,,,dead
NER,17.78967,-64.61143,115,BI2,2,,,,dead
NER,17.78967,-64.61143,167,BI3,2,,,,dead
NER,17.78967,-64.61143,168,BI5,2,,,,dead
NER,17.78967,-64.61143,177,BI4,2,,,,dead
NER,17.78967,-64.61143,181,BI1,2,,,,dead
NER,17.78967,-64.61143,113,BI2,3,,,,dead
NER,17.78967,-64.61143,115,BI2,3,,,,dead
NER,17.78967,-64.61143,167,BI3,3,,,,dead
NER,17.78967,-64.61143,168,BI5,3,,,,dead
NER,17.78967,-64.61143,177,BI4,3,,,,dead
NER,17.78967,-64.61143,181,BI1,3,,,,dead
NER,17.78967,-64.61143,113,BI2,4,,,,dead
NER,17.78967,-64.61143,115,BI2,4,,,,dead
NER,17.78967,-64.61143,167,BI3,4,,,,dead
NER,17.78967,-64.61143,168,BI5,4,,,,dead
NER,17.78967,-64.61143,177,BI4,4,,,,dead
NER,17.78967,-64.61143,181,BI1,4,,,,dead
