pmid,first_author,year,title,journal,doi
41875832,Rada-Osorio,2026,Coal dust pollution affects the early life cycle of brooding and broadcast-spawning corals.,Marine environmental research,10.1016/j.marenvres.2026.107993
41454911,Wilson,2026,"Survival, rarity, and extinction in tropical stony corals.",Conservation biology : the journal of the Society for Conservation Biology,10.1111/cobi.70200
41411953,Alvarado-Cerón,2026,Genomic insights into natural and restored populations of Acropora palmata: implications for genetic diversity and conservation strategies.,Marine environmental research,10.1016/j.marenvres.2025.107779
41273189,Muller,2025,Success of restoration strategies in preventing extirpation of 2 critically endangered coral species.,Conservation biology : the journal of the Society for Conservation Biology,10.1111/cobi.70168
41256771,Ramos Romero,2025,Does reef crest zone selection influence ,PeerJ,10.7717/peerj.20303
41210959,Birkart,2025,2023 global heatwave causes mass mortality of a keystone coral on shallow Western Atlantic reefs.,iScience,10.1016/j.isci.2025.113722
41129628,Manzello,2025,Heat-driven functional extinction of Caribbean ,"Science (New York, N.Y.)",10.1126/science.adx7825
39845712,Bell,2025,Bioinformatic approach to explain how Mg from seawater may be incorporated into coral skeletons.,Royal Society open science,10.1098/rsos.232011
39670091,Garzon-Machado,2024,Disease prevalence and bacterial isolates associated with ,PeerJ,10.7717/peerj.16886
39604459,Young,2024,Genet identity and season drive gene expression in outplanted Acropora palmata at different reef sites.,Scientific reports,10.1038/s41598-024-80479-y
39567907,Locatelli,2024,Chromosome-level genome assemblies and genetic maps reveal heterochiasmy and macrosynteny in endangered Atlantic Acropora.,BMC genomics,10.1186/s12864-024-11025-3
38282865,Ramos,2024,Seventeen-year study reveals fluctuations in key ecological indicators on two reef crests in Cuba.,PeerJ,10.7717/peerj.16705
38166125,Banister,2024,"Environmental predictors for the restoration of a critically endangered coral, Acropora palmata, along the Florida reef tract.",PloS one,10.1371/journal.pone.0296485
38150437,Olán-González,2023,Similar functional composition of fish assemblages despite contrasting levels of habitat degradation on shallow Caribbean coral reefs.,PloS one,10.1371/journal.pone.0295238
37848062,Quinlan,2023,Coral larval settlement induction using tissue-associated and exuded coralline algae metabolites and the identification of putative chemical cues.,Proceedings. Biological sciences,10.1098/rspb.2023.1476
37842045,Engleman,2023,Dead but not forgotten: complexity of ,PeerJ,10.7717/peerj.16101
37547720,Mendoza Quiroz,2023,"Long-term survival, growth, and reproduction of ",PeerJ,10.7717/peerj.15813
37454286,Hackerott,2023,Relationships between phenotypic plasticity and epigenetic variation in two Caribbean Acropora corals.,Molecular ecology,10.1111/mec.17072
37443199,Gischler,2023,"9000 years of change in coral community structure and accretion in Belize reefs, western Atlantic.",Scientific reports,10.1038/s41598-023-38118-5
37260163,Sutherland,2023,Twenty-year record of white pox disease in the Florida Keys: importance of environmental risk factors as drivers of coral health.,Diseases of aquatic organisms,10.3354/dao03727
37228141,Young,2023,Different disease inoculations cause common responses of the host immune system and prokaryotic component of the microbiome in Acropora palmata.,PloS one,10.1371/journal.pone.0286293
37085476,Toth,2023,The potential for coral reef restoration to mitigate coastal flooding as sea levels rise.,Nature communications,10.1038/s41467-023-37858-2
36510006,Elder,2023,Long-term maintenance of a heterologous symbiont association in Acropora palmata on natural reefs.,The ISME journal,10.1038/s41396-022-01349-x
36061746,García-Urueña,2022,Fine scale population structure of ,PeerJ,10.7717/peerj.13854
36044584,Vasquez Kuntz,2022,Inheritance of somatic mutations by animal offspring.,Science advances,10.1126/sciadv.abn0707
35943423,Scott,2022,Millennia-old coral holobiont DNA provides insight into future adaptive trajectories.,Molecular ecology,10.1111/mec.16642
35789026,Toth,2022,"The past, present, and future of coral reef growth in the Florida Keys.",Global change biology,10.1111/gcb.16295
35468162,Maurer,2022,Acropora cervicornis and Acropora palmata cultured on a low maintenance line nursery design in The Bahamas.,PloS one,10.1371/journal.pone.0267034
