pmid,first_author,year,title,journal,doi,source_queries
23308185,Foster,2013,Hurricane-driven patterns of clonality in an ecosystem engineer: the Caribbean coral Montastraea annularis.,PloS one,10.1371/journal.pone.0053283,Q3_mesh_anthozoa
23894925,Zuluaga-Montero,2012,Spatial variability of disease incidence and mortality in the sea fan Gorgonia ventalina in Puerto Rico (Alcyonacea: Goorgoniidae).,Revista de biologia tropical,10.15517/rbt.v60i2.3910,Q3_mesh_anthozoa
23264475,Hilton,2012,Photoreception and signal transduction in corals: proteomic and behavioral evidence for cytoplasmic calcium as a mediator of light responsivity.,The Biological bulletin,10.1086/BBLv223n3p291,Q1_genus_caribbean
23150775,Gignoux-Wolfsohn,2012,"White Band Disease transmission in the threatened coral, Acropora cervicornis.",Scientific reports,10.1038/srep00804,Q1_genus_caribbean; Q4_esa_threatened
23025075,Bernal-Sotelo,2012,The relationship between physical and biological habitat conditions and hermatypic coral recruits abundance within insular reefs (Colombian Caribbean).,Revista de biologia tropical,10.15517/rbt.v60i3.1753,Q3_mesh_anthozoa
22951746,Work,2012,Tissue loss (white syndrome) in the coral Montipora capitata is a dynamic disease with multiple host responses and potential causes.,Proceedings. Biological sciences,10.1098/rspb.2012.1827,Q3_mesh_anthozoa
22925734,Morgan,2012,Skeletal extension and calcification of reef-building corals in the central Indian Ocean.,Marine environmental research,10.1016/j.marenvres.2012.08.001,Q1_genus_caribbean
22691977,Fournie,2012,Comparative sensitivity of six scleractinian corals to temperature and solar radiation.,Diseases of aquatic organisms,10.3354/dao02459,Q3_mesh_anthozoa
22636010,McKew,2012,Characterization of geographically distinct bacterial communities associated with coral mucus produced by Acropora spp. and Porites spp.,Applied and environmental microbiology,10.1128/AEM.07764-11,Q1_genus_caribbean
22462739,Cramer,2012,Anthropogenic mortality on coral reefs in Caribbean Panama predates coral disease and bleaching.,Ecology letters,10.1111/j.1461-0248.2012.01768.x,Q1_genus_caribbean; Q3_mesh_anthozoa
22216307,Thornhill,2011,A connection between colony biomass and death in Caribbean reef-building corals.,PloS one,10.1371/journal.pone.0029535,Q1_genus_caribbean; Q2_abbreviated; Q3_mesh_anthozoa
22116768,Palmer,2011,Patterns of coral ecological immunology: variation in the responses of Caribbean corals to elevated temperature and a pathogen elicitor.,The Journal of experimental biology,10.1242/jeb.061267,Q3_mesh_anthozoa
22113375,Sharp,2011,Diversity and dynamics of bacterial communities in early life stages of the Caribbean coral Porites astreoides.,The ISME journal,10.1038/ismej.2011.144,Q3_mesh_anthozoa
22009340,Sandin,2011,Spatial dynamics of benthic competition on coral reefs.,Oecologia,10.1007/s00442-011-2156-0,Q1_genus_caribbean; Q3_mesh_anthozoa
21497202,Mydlarz,2011,The presence of multiple phenoloxidases in Caribbean reef-building corals.,"Comparative biochemistry and physiology. Part A, Molecular & integrative physiology",10.1016/j.cbpa.2011.03.029,Q3_mesh_anthozoa
21299103,Rodríguez,2010,"Severity of the 1998 and 2005 bleaching events in Venezuela, southern Caribbean.",Revista de biologia tropical,,Q1_genus_caribbean; Q3_mesh_anthozoa
21125021,Eakin,2010,"Caribbean corals in crisis: record thermal stress, bleaching, and mortality in 2005.",PloS one,10.1371/journal.pone.0013969,Q3_mesh_anthozoa
20873047,Sánchez,2010,White plague-like coral disease in remote reefs of the Western Caribbean.,Revista de biologia tropical,10.15517/rbt.v58i1.20031,Q3_mesh_anthozoa
20873045,Navas-Camacho,2010,Agents of coral mortality on reef formations of the Colombian Pacific.,Revista de biologia tropical,10.15517/rbt.v58i1.20028,Q3_mesh_anthozoa
20700530,Ward-Paige,2010,Large-scale absence of sharks on reefs in the greater-Caribbean: a footprint of human pressures.,PloS one,10.1371/journal.pone.0011968,Q3_mesh_anthozoa
20527467,Martín Blanco,2010,"Abundance, distribution and size structure of Diadema antillarum (Echinodermata: Diadematidae) in South Eastern Cuban coral reefs.",Revista de biologia tropical,10.15517/rbt.v58i2.5237,Q3_mesh_anthozoa
20520809,Precht,2010,"Changing patterns of microhabitat utilization by the threespot damselfish, Stegastes planifrons, on Caribbean reefs.",PloS one,10.1371/journal.pone.0010835,Q1_genus_caribbean; Q3_mesh_anthozoa
20505771,McKenna,2010,"Rapid assessment of stony coral richness and condition on Saba Bank, Netherlands Antilles.",PloS one,10.1371/journal.pone.0010749,Q1_genus_caribbean
20457927,Rasher,2010,Chemically rich seaweeds poison corals when not controlled by herbivores.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.0912095107,Q3_mesh_anthozoa
20391907,Hobbs,2010,"Coral disease in the Indian Ocean: taxonomic susceptibility, spatial distribution and the role of host density on the prevalence of white syndrome.",Diseases of aquatic organisms,10.3354/dao02181,Q1_genus_caribbean
20111583,Hemond,2010,Genetic diversity and connectivity in the threatened staghorn coral (Acropora cervicornis) in Florida.,PloS one,10.1371/journal.pone.0008652,Q1_genus_caribbean; Q2_abbreviated
21564860,Baums,2009,"Nine novel, polymorphic microsatellite markers for the study of threatened Caribbean acroporid corals.",Molecular ecology resources,10.1111/j.1755-0998.2009.02581.x,Q1_genus_caribbean; Q2_abbreviated
20095246,Haapkylä,2009,"Spatio-temporal coral disease dynamics in the Wakatobi Marine National Park, South-East Sulawesi, Indonesia.",Diseases of aquatic organisms,10.3354/dao02160,Q1_genus_caribbean; Q3_mesh_anthozoa
20095240,Weil,2009,"Yellow band disease compromises the reproductive output of the Caribbean reef-building coral Montastraea faveolata (Anthozoa, Scleractinia).",Diseases of aquatic organisms,10.3354/dao02103,Q3_mesh_anthozoa
20095239,Cróquer,2009,Changes in Caribbean coral disease prevalence after the 2005 bleaching event.,Diseases of aquatic organisms,10.3354/dao02164,Q3_mesh_anthozoa
20073326,Alvarado,2009,[Natural lesions and regeneration of ramets of Montastraea annularis (Scleractinia: Faviidae) in a degraded reef of the Colombian Caribbean].,Revista de biologia tropical,,Q3_mesh_anthozoa
19886494,Brandt,2009,Disease incidence is related to bleaching extent in reef-building corals.,Ecology,10.1890/08-0445.1,Q3_mesh_anthozoa
19819006,Crabbe,2009,Topography and spatial arrangement of reef-building corals on the fringing reefs of North Jamaica may influence their response to disturbance from bleaching.,Marine environmental research,10.1016/j.marenvres.2009.09.007,Q2_abbreviated
19740874,LaJeunesse,2009,Outbreak and persistence of opportunistic symbiotic dinoflagellates during the 2005 Caribbean mass coral 'bleaching' event.,Proceedings. Biological sciences,10.1098/rspb.2009.1405,Q3_mesh_anthozoa
19515663,Alvarez-Filip,2009,Flattening of Caribbean coral reefs: region-wide declines in architectural complexity.,Proceedings. Biological sciences,10.1098/rspb.2009.0339,Q1_genus_caribbean; Q3_mesh_anthozoa
19223986,Vu,2009,Macroalgae has no effect on the severity and dynamics of Caribbean yellow band disease.,PloS one,10.1371/journal.pone.0004514,Q3_mesh_anthozoa
19100585,Riegl,2008,Monitored and modeled coral population dynamics and the refuge concept.,Marine pollution bulletin,10.1016/j.marpolbul.2008.10.019,Q1_genus_caribbean; Q3_mesh_anthozoa; Q4_esa_threatened
19005565,Vollmer,2008,Natural disease resistance in threatened staghorn corals.,PloS one,10.1371/journal.pone.0003718,Q1_genus_caribbean; Q2_abbreviated
18798767,Cervino,2008,The Vibrio core group induces yellow band disease in Caribbean and Indo-Pacific reef-building corals.,Journal of applied microbiology,10.1111/j.1365-2672.2008.03871.x,Q3_mesh_anthozoa
18781354,Coleman,2008,Secondary structure of the rRNA ITS2 region reveals key evolutionary patterns in acroporid corals.,Journal of molecular evolution,10.1007/s00239-008-9160-y,Q1_genus_caribbean; Q2_abbreviated
18705385,Vermeij,2008,Density-dependent settlement and mortality structure the earliest life phases of a coral population.,Ecology,10.1890/07-1296.1,Q3_mesh_anthozoa
18479440,Marhaver,2008,Viral communities associated with healthy and bleaching corals.,Environmental microbiology,10.1111/j.1462-2920.2008.01652.x,Q3_mesh_anthozoa
18364996,Mydlarz,2008,Cellular responses in sea fan corals: granular amoebocytes react to pathogen and climate stressors.,PloS one,10.1371/journal.pone.0001811,Q3_mesh_anthozoa
18331247,López-Legentil,2008,Bleaching and stress in coral reef ecosystems: hsp70 expression by the giant barrel sponge Xestospongia muta.,Molecular ecology,10.1111/j.1365-294X.2008.03667.x,Q3_mesh_anthozoa
19086388,Chasqui-Velasco,2007,[Effect of herbivorous and corallivorous fishes on the survival of transplanted corals in the Colombian Caribbean].,Revista de biologia tropical,,Q3_mesh_anthozoa
18191447,Crabbe,2007,Growth modelling indicates hurricanes and severe storms are linked to low coral recruitment in the Caribbean.,Marine environmental research,10.1016/j.marenvres.2007.11.006,Q3_mesh_anthozoa
17972885,Mumby,2007,Thresholds and the resilience of Caribbean coral reefs.,Nature,10.1038/nature06252,Q3_mesh_anthozoa
17645655,Torres,2007,Physiological responses of Acropora cervicornis to increased solar irradiance.,Photochemistry and photobiology,10.1562/2006-09-01-RA-1025,Q1_genus_caribbean
17302846,Foster,2007,Sexual vs. asexual reproduction in an ecosystem engineer: the massive coral Montastraea annularis.,The Journal of animal ecology,10.1111/j.1365-2656.2006.01207.x,Q3_mesh_anthozoa
18457180,Fonseca,2006,Non-colonial coral macro-borers as indicators of coral reef status in the South Pacific of Costa Rica.,Revista de biologia tropical,10.15517/rbt.v54i1.13977,Q3_mesh_anthozoa
16958892,Carpenter,2006,Local and regional scale recovery of Diadema promotes recruitment of scleractinian corals.,Ecology letters,10.1111/j.1461-0248.2005.00866.x,Q3_mesh_anthozoa
16796572,Pandolfi,2006,Ecological persistence interrupted in Caribbean coral reefs.,Ecology letters,10.1111/j.1461-0248.2006.00933.x,Q3_mesh_anthozoa
16782451,Harborne,2006,"The functional value of Caribbean coral reef, seagrass and mangrove habitats to ecosystem processes.",Advances in marine biology,10.1016/S0065-2881(05)50002-6,Q1_genus_caribbean; Q3_mesh_anthozoa
16711060,Mumby,2006,The impact of exploiting grazers (Scaridae) on the dynamics of Caribbean coral reefs.,Ecological applications : a publication of the Ecological Society of America,10.1890/1051-0761(2006)016[0747:tioegs]2.0.co;2,Q3_mesh_anthozoa
16703771,Kim,2006,Longitudinal study of aspergillosis in sea fan corals.,Diseases of aquatic organisms,10.3354/dao069095,Q3_mesh_anthozoa
16703766,Gochfeld,2006,Colony versus population variation in susceptibility and resistance to dark spot syndrome in the Caribbean coral Siderastrea siderea.,Diseases of aquatic organisms,10.3354/dao069053,Q3_mesh_anthozoa
16400152,Mumby,2006,"Fishing, trophic cascades, and the process of grazing on coral reefs.","Science (New York, N.Y.)",10.1126/science.1121129,Q3_mesh_anthozoa
17465148,Quinn,2005,"Patterns of sexual recruitment of acroporid coral populations on the west fore reef at Discovery Bay, Jamaica.",Revista de biologia tropical,,Q2_abbreviated
15759795,Jordán-Dahlgren,2005,Diseases and partial mortality in Montastraea annularis species complex in reefs with differing environmental conditions (NW Caribbean and Gulf of Mexico).,Diseases of aquatic organisms,10.3354/dao063003,Q3_mesh_anthozoa
15727304,Santavy,2005,The condition of coral reefs in South Florida (2000) using Coral disease and bleaching as indicators.,Environmental monitoring and assessment,10.1007/s10661-005-4767-6,Q3_mesh_anthozoa
17354397,Reyes-Nivia,2004,"[Live coral predation by fish in Tayrona Nature National Park, Colombian Caribbean].",Revista de biologia tropical,,Q3_mesh_anthozoa
15528553,Cervino,2004,Relationship of Vibrio species infection and elevated temperatures to yellow blotch/band disease in Caribbean corals.,Applied and environmental microbiology,10.1128/AEM.70.11.6855-6864.2004,Q3_mesh_anthozoa
15479247,Casas,2004,Widespread association of a Rickettsiales-like bacterium with reef-building corals.,Environmental microbiology,10.1111/j.1462-2920.2004.00647.x,Q1_genus_caribbean; Q2_abbreviated
15315687,Vollmer,2004,Testing the utility of internally transcribed spacer sequences in coral phylogenetics.,Molecular ecology,10.1111/j.1365-294X.2004.02265.x,Q1_genus_caribbean
15101437,Sánchez,2004,Do multi-branched colonial organisms exceed normal growth after partial mortality?,Proceedings. Biological sciences,10.1098/rsbl.2003.0108,Q3_mesh_anthozoa
15264555,McGrath,2003,"Comparisons of the 1995 and 1998 coral bleaching events on the patch reefs of San Salvador Island, Bahamas.",Revista de biologia tropical,,Q2_abbreviated
15264552,Croquer,2003,"White plague disease outbreak in a coral reef at Los Roques National Park, Venezuela.",Revista de biologia tropical,,Q3_mesh_anthozoa
15264551,Borger,2003,"Three scleractinian coral diseases in Dominica, West Indies: distribution, infection patterns and contribution to coral tissue mortality.",Revista de biologia tropical,,Q3_mesh_anthozoa
12753202,Miller,2003,A 'fair go' for coral hybridization.,Molecular ecology,10.1046/j.1365-294x.2003.01808.x,Q1_genus_caribbean
12146827,McClanahan,2002,"Algal growth and species composition under experimental control of herbivory, phosphorus and coral abundance in Glovers Reef, Belize.",Marine pollution bulletin,10.1016/s0025-326x(02)00051-6,Q2_abbreviated
12065836,Vollmer,2002,Hybridization and the evolution of reef coral diversity.,"Science (New York, N.Y.)",10.1126/science.1069524,Q1_genus_caribbean; Q2_abbreviated
15264537,Jiménez,2001,Bleaching and mortality of reef organisms during a warming event in 1995 on the Caribbean coast of Costa Rica.,Revista de biologia tropical,,Q3_mesh_anthozoa
10972775,Oppen,2000,"Examination of species boundaries in the Acropora cervicornis group (Scleractinia, cnidaria) using nuclear DNA sequence analyses.",Molecular ecology,10.1046/j.1365-294x.2000.01010.x,Q1_genus_caribbean; Q2_abbreviated
10097392,van Oppen,1999,Atypically low rate of cytochrome b evolution in the scleractinian coral genus Acropora.,Proceedings. Biological sciences,10.1098/rspb.1999.0619,Q1_genus_caribbean
29300508,Soong,1992,Reproductive Integration in Reef Corals.,The Biological bulletin,10.2307/1542018,Q2_abbreviated
16593007,Tunnicliffe,1981,Breakage and propagation of the stony coral Acropora cervicornis.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.78.4.2427,Q1_genus_caribbean
