size_class,data_type,n_reliable,n_uncertain,pct_reliable
SC1,survival,4,225,1.75
SC2,survival,8,12,40
SC3,survival,15,0,100
SC4,survival,7,0,100
SC5,survival,5,0,100
Unknown,survival,6,38,13.64
SC1,growth,3,12,20
