"size_class","survival_elasticity","fragmentation_elasticity"
"SC1",0.0283713009591342,0
"SC2",0.0405271504185397,0
"SC3",0.117227249129802,0
"SC4",0.18894458709357,0.0061218507403258
"SC5",0.556066225490251,0.0627416361683773
