method,sig_criteria,threshold_mean,threshold_se,ci_lower,ci_upper,n_detected,n_folds,detection_frac
abs_max_d2,none,5.227991755936736,0.0580177188809702,5.0115154154782955,5.346272642991346,6,6,1
abs_max_d2,sim_int,5.227991755936736,0.0580177188809702,5.0115154154782955,5.346272642991346,6,6,1
min_d2,none,8.12922106104984,0.6904889680870571,5.446699811245262,8.780881797275244,6,6,1
min_d2,sim_int,6.852680166800074,NA,5.071771716430645,8.6335886171695,2,6,0.3333333333333333
zero_d2,none,7.120485948810514,0.7103671416071978,4.355391249552717,7.8368664156884416,6,6,1
zero_d2,sim_int,3.8800359864841854,NA,NA,NA,1,6,0.16666666666666666
zero_d1,none,4.049646315090797,0.1882530517045947,3.7863039627805315,4.783880500769421,6,6,1
zero_d1,sim_int,4.897697958123858,NA,NA,NA,1,6,0.16666666666666666
