response,r_squared,deviance_explained,edf,aic,n_obs
AGR,0.003969578973985977,0.004483439065443208,1.9057642595777546,67899.40332953991,3695
RGR,0.2532257060260139,0.253627576470049,1.9878957166107858,6593.937756585895,3695
P(Positive Growth),NA,0.016965890940590866,1.9499893566813773,4163.474433659715,3695
