"to_class","from_class","n_observations","reliability","transition_prob","elasticity_value"
"SC1","SC1",91,"High",0.572327044025157,0.0119111853941919
"SC2","SC1",59,"High",0.247058823529412,0.00556450893838896
"SC3","SC1",5,"Very Low",0.154385964912281,0.0057429646821223
"SC4","SC1",4,"Very Low",0.119581464872945,0.00295575638882642
"SC5","SC1",0,"None",0.0381991814461119,0.00219688555560449
"SC1","SC2",84,"High",0.371069182389937,0.0108885150799121
"SC2","SC2",148,"High",0.435294117647059,0.0138233188922591
"SC3","SC2",104,"High",0.056140350877193,0.00294446573588537
"SC4","SC2",2,"Very Low",0.00597907324364723,0.00181358549784279
"SC5","SC2",2,"Very Low",0.00136425648021828,0.0110572652126403
"SC1","SC3",88,"High",0.0314465408805031,0.00170049637103723
"SC2","SC3",32,"Moderate",0.305882352941176,0.0179008235077406
"SC3","SC3",347,"High",0.608771929824561,0.0588403247758075
"SC4","SC3",103,"High",0.0523168908819133,0.00759585864681859
"SC5","SC3",0,"None",0.00818553888130969,0.0311897458283982
"SC1","SC4",80,"High",0.0251572327044025,0.00387110411399293
"SC2","SC4",4,"Very Low",0.00588235294117647,0.000979577547984403
"SC3","SC4",35,"Moderate",0.180701754385965,0.0496994939359869
"SC4","SC4",436,"High",0.651718983557549,0.113978186831302
"SC5","SC4",114,"High",0.0347885402455662,0.0265380754046295
"SC1","SC5",56,"High",0,0
"SC2","SC5",2,"Very Low",0.00588235294117647,0.00225892153216662
"SC3","SC5",12,"Low",0,0
"SC4","SC5",51,"High",0.170403587443946,0.0687230504691059
"SC5","SC5",1345,"High",0.917462482946794,0.547825889657356
