metric,n,mean,median,sd,min,max,pct_positive,pct_shrinking
AGR,3695,218.12494994393208,78.93125,2369.3589169829397,-50419.1501103753,24455.919395466,74.07307171853856,22.84167794316644
RGR,3695,0.3855736986433258,0.22297581940253725,0.6829443089079467,NA,NA,74.07307171853856,22.84167794316644
