term,df,sum_sq,mean_sq,f_value,p_value
log_size,1,15161.973938562975,15161.973938562975,37680.774740071785,0
study,5,69.97282738439193,13.994565476878387,34.779512974774235,7.346974543930657e-35
log_size:study,5,21.086337515001233,4.2172675030002464,10.480819149478007,5.254127201764827e-10
Residuals,3683,1481.9639564454733,0.40237957003678343,NA,NA
