"size_class","current_n","current_survival","recommended_n_10pct","recommended_n_15pct","current_power_10pct","gap_10pct","gap_15pct","priority_score"
"SC1",364,0.725274725274725,213946,87234,0.0515311100079924,213582,86870,585.156164383562
"SC3",906,0.775938189845475,176542,69228,0.0546269327679791,175636,68322,193.644983461963
"SC2",1326,0.650075414781297,257842,108796,0.0546366590206708,256516,107470,193.305199698568
"SC5",1710,0.944444444444444,187594,187594,0.0582357184855552,185884,185884,108.640561075395
"SC4",825,0.886060606060606,73497,66075,0.0601527636828921,72672,65250,87.9806295399516
