data_type,n_individual,n_summary_effective,n_summary_records,studies_individual,studies_summary,n_total,pct_individual,pct_summary
Survival,5131,20829,320,6,13,25960,19.8,80.2
Growth,4325,493,15,6,5,4818,89.8,10.2
