region,n_observations,n_studies,n_sites,year_range,mean_survival
Florida,4031,3,18,2004-2024,0.803026544281816
Curacao,856,1,4,2007-2015,0.8457943925233645
Navassa,102,1,2,2009-2012,0.9215686274509803
Mexico,52,1,3,2016-2021,1
USVI,46,1,3,2020-2021,0.6521739130434783
Dominican Republic,44,1,1,2021-2021,0.8636363636363636
