"model","term","estimate","std_error","statistic","p_value","ci_lower","ci_upper","odds_ratio","or_ci_lower","or_ci_upper","response"
"Survival (best)","(Intercept)",-0.114180133766571,0.364250344943115,-0.313466096468358,0.753926574743133,-0.828110809855076,0.599750542321934,0.892097244571264,0.436873844964747,1.82166431555513,"survival"
"Survival (best)","log_size",0.249567363982525,0.050116076945972,4.97978651145367,6.36544522231188e-07,0.15133985316842,0.34779487479663,1.28347002119584,1.1633919733517,1.41594177460468,"survival"
"Survival (best)","regionDominican Republic",-0.451578111945358,3.20620957804108,-0.14084485151506,0.887992509819369,-6.73574888490588,5.83259266101516,0.636622696587971,0.00118768542734082,341.242258666391,"survival"
"Survival (best)","regionFlorida",-0.8916433449806,0.383981466881252,-2.32209994982999,0.0202275543889922,-1.64424702006785,-0.139039669893346,0.409981457883598,0.193157952110947,0.870193507289906,"survival"
"Survival (best)","regionMexico",15.6802483825172,488.273431215118,0.0321136629193509,0.974381407596516,-941.335676799114,972.696173564149,6454243.51997205,0,Inf,"survival"
"Survival (best)","regionNavassa",-1.35991561205347,1.23977570157472,-1.09690455323987,0.272683118128297,-3.78987598713992,1.07004476303299,0.256682436943387,0.0225984041700907,2.9155100041266,"survival"
"Survival (best)","regionUSVI",-2.40614030979894,1.56166452228601,-1.54075364808619,0.123376754460687,-5.46700277347953,0.65472215388164,0.0901626236447359,0.00422387310913866,1.92460769830276,"survival"
"Survival (best)","log_size:regionDominican Republic",0.585584169270548,1.11056290375661,0.527285908154989,0.597995058634949,-1.59111912209242,2.76228746063351,1.79603987054796,0.203697521730999,15.8360258347072,"survival"
"Survival (best)","log_size:regionFlorida",0.199188442322697,0.0553882043690001,3.59622494702463,0.000322868629156195,0.0906275617594567,0.307749322885937,1.22041192148964,1.09486116115031,1.36035993508912,"survival"
"Survival (best)","log_size:regionMexico",-0.249567363979857,114.045804517749,-0.002188308154212,0.998253984102998,-223.779344218767,223.280209490807,0.779137793238789,6.51426830282394e-98,9.31886242066296e+96,"survival"
"Survival (best)","log_size:regionNavassa",0.437114734593047,0.245284021993804,1.78207586062857,0.0747368617004127,-0.0436419485148095,0.917871417700903,1.54823370283007,0.957296657607264,2.50395483942273,"survival"
"Survival (best)","log_size:regionUSVI",0.641895196332257,0.438625257127211,1.46342506707518,0.143351103704319,-0.217810307637077,1.50160070030159,1.90007849092496,0.804277992590091,4.4888686560341,"survival"
"Growth (best)","(Intercept)",-1663.44504452086,449.358267261884,-3.70182361316479,0.00021672323562646,-2544.41777742159,-782.47231162013,NA,NA,NA,"growth"
"Growth (best)","log_size",673.128319670344,153.56618213665,4.38331089765171,1.19664647806483e-05,372.059820402675,974.196818938013,NA,NA,NA,"growth"
"Growth (best)","log_size_sq",-60.1472613137538,11.9682900259175,-5.0255517858862,5.2227681889239e-07,-83.6112497177687,-36.6832729097388,NA,NA,NA,"growth"
