size_class,n,n_survived,survival_rate,mean_size
SC1,364,264,0.7252747252747253,14.898993056564859
SC2,1326,862,0.6500754147812972,55.486518001126676
SC3,906,703,0.7759381898454746,233.22920684567467
SC4,825,731,0.8860606060606061,1097.7560727272728
SC5,1710,1615,0.9444444444444444,9834.588134502921
