model_name,n_obs,n_params,dispersion_ratio,overdispersed
GLMM_study,3926,3,0.9761227968675472,FALSE
GLMM_study_location,3926,4,0.9061433821836719,FALSE
GLMM_study_location_year,3926,5,0.862165418307914,FALSE
GLMM_coral_study_location_year,3926,6,0.6228803390618989,FALSE
