region,n,survival,se,n_studies,n_sites,ci_lower,ci_upper
Mexico,52,1,0,1,3,0.9312077638761377,0.9999999999999999
Navassa,102,0.9215686274509803,0.026620037482681685,1,2,0.8528127275871087,0.9597233141325401
Dominican Republic,44,0.8636363636363636,0.05173547117995419,1,1,0.7329054695148456,0.9359704550244412
Curacao,856,0.8457943925233645,0.012343706922290728,1,4,0.8200610066112165,0.8684380113495492
Florida,4031,0.803026544281816,0.006264153677878564,3,18,0.790462980739793,0.8150131017613623
USVI,46,0.6521739130434783,0.0702237263554129,1,3,0.5077005884206277,0.7731900662924566
