"model","term","estimate","std_error","statistic","p_value","ci_lower","ci_upper","response"
"S1_null",NA,NA,NA,NA,NA,NA,NA,"survival"
"S2_linear","(Intercept)",-0.647431922250997,0.103856812121852,-6.23388980485346,4.54993198811661e-10,-0.851622886437987,-0.444407762404992,"survival"
"S2_linear","log_size",0.37641010775025,0.0189282206303572,19.8861855586447,5.36003544704945e-88,0.339715531759172,0.413935105155844,"survival"
"S3_quadratic","(Intercept)",0.301556532629638,0.254509618164279,1.184853188672,0.236075498457599,-0.194217191025704,0.805521868719285,"survival"
"S3_quadratic","log_size",-0.0080346047540667,0.0961403881202431,-0.0835715864181637,0.933397058638663,-0.198545695685565,0.179035921424372,"survival"
"S3_quadratic","log_size_sq",0.0339567678481803,0.00839916937473199,4.04287213808733,5.28004170054629e-05,0.0176816488596151,0.0506594058673531,"survival"
"S4_threshold","(Intercept)",0.489135486716077,0.225543705024876,2.16869491729831,0.0301058535264771,0.0504118834450507,0.935707710141544,"survival"
"S4_threshold","log_size",0.0683411209774876,0.0570549262661391,1.19781279987468,0.230989903015354,-0.044369234624776,0.179546414134078,"survival"
"S4_threshold","above_threshold",0.432805751766774,0.0755375170517648,5.72967935218441,1.00620652051272e-08,0.285545978434146,0.581880120324169,"survival"
"S5_categorical","(Intercept)",0.970778917158242,0.117421798605982,8.2674505814356,1.36853940109653e-16,0.744352711396326,1.20518178867184,"survival"
"S5_categorical","size_classSC2",-0.351408198720797,0.130778989172885,-2.68703865157,0.0072088610398542,-0.611050520330577,-0.097954548025986,"survival"
"S5_categorical","size_classSC3",0.271371995610649,0.141903003029984,1.91237669264341,0.055827895282202,-0.00900888750737388,0.547701447084251,"survival"
"S5_categorical","size_classSC4",1.08033976032156,0.160605621661268,6.72666217500218,1.73599146030501e-11,0.765853473082662,1.3960997529911,"survival"
"S5_categorical","size_classSC5",1.86243442593299,0.157901640253169,11.7949023388667,4.14681411322112e-32,1.55323218788484,2.1729078216713,"survival"
"S6_size_region","(Intercept)",-1.27704971849669,0.171509596315851,-7.44593740483703,9.62584414377766e-14,-1.61442815560003,-0.94180188279917,"survival"
"S6_size_region","log_size",0.419181667535467,0.0208326100911132,20.1214185693555,4.79169732429979e-90,0.378855033842202,0.460543162690841,"survival"
"S6_size_region","regionDominican Republic",1.9031364684129,0.458050327603554,4.15486324039937,3.2548216157502e-05,1.07459837938595,2.90061387465763,"survival"
"S6_size_region","regionFlorida",0.414996762416862,0.114206555149945,3.63373855267767,0.000279343930545338,0.188976931962668,0.637006146197058,"survival"
"S6_size_region","regionMexico",15.3623969784573,192.970974501086,0.0796098844304215,0.936547533532772,7.51522921268683,81.1256729219627,"survival"
"S6_size_region","regionNavassa",1.13461087963367,0.395232559674168,2.87074243217473,0.00409509047748719,0.415328897583648,1.98354472705581,"survival"
"S6_size_region","regionUSVI",0.39656979992452,0.335945070138294,1.18046024536472,0.237817212956759,-0.249794815657187,1.07496306454675,"survival"
"S7_interaction","(Intercept)",-0.114180133766571,0.364250344943115,-0.313466096468358,0.753926574743133,-0.828110809855076,0.599750542321934,"survival"
"S7_interaction","log_size",0.249567363982525,0.050116076945972,4.97978651145367,6.36544522231188e-07,0.15133985316842,0.34779487479663,"survival"
"S7_interaction","regionDominican Republic",-0.451578111945358,3.20620957804108,-0.14084485151506,0.887992509819369,-6.73574888490588,5.83259266101516,"survival"
"S7_interaction","regionFlorida",-0.8916433449806,0.383981466881252,-2.32209994982999,0.0202275543889922,-1.64424702006785,-0.139039669893346,"survival"
"S7_interaction","regionMexico",15.6802483825172,488.273431215118,0.0321136629193509,0.974381407596516,-941.335676799114,972.696173564149,"survival"
