excluded_study,n_remaining,threshold_log,threshold_cm2
NOAA_survey,584,4.1626547622289305,64.24184323845238
pausch_et_al_2018,2977,6.844844566765299,939.0273136132979
USGS_USVI_exp,3409,6.823484506396531,919.1823330189178
kuffner_et_al_2020,3405,6.844844566765299,939.0273136132979
mendoza_quiroz_et_al_2023,3392,6.9089247478716045,1001.1701529848592
fundemar_fragments,3373,6.887564687502836,980.0118735933834
