size_class,n,survival,se,ci_lower,ci_upper
SC1,364,0.7252747252747253,0.023396445803643962,0.6772453809145683,0.7685988709155184
SC2,1326,0.6500754147812972,0.013097769313670704,0.6240041808391039,0.675279615255618
SC3,906,0.7759381898454746,0.013852666696232628,0.7476547580980397,0.8018915338989012
SC4,825,0.8860606060606061,0.011062204747540431,0.8625662208851169,0.9059764156117917
SC5,1710,0.9444444444444444,0.0055392874223714715,0.9325579637135324,0.9543385413143728
