"year","deterministic","stochastic_mean","stochastic_median","ci_lower_95","ci_upper_95","pi_lower_80","pi_upper_80"
0,210,210,210,210,210,210,210
1,170.844680516436,166.746241359779,167.474836795595,153.884040907546,176.31827228863,157.758622666379,173.425660829961
2,144.208788485948,138.209921123728,139.051768963194,120.489581008018,153.226206449876,124.994698710274,148.301332285328
3,125.655301240519,118.333317401115,118.93999250081,97.6170880239945,137.858518622058,102.573504712214,131.382170152489
4,112.585467384271,104.064510109356,104.634092053883,79.961450767119,128.424059589101,85.1041293695122,120.48155500669
5,103.294408253671,93.6022156225734,94.4854015491183,65.4030340661438,122.369316180966,71.5471789638741,113.076826246627
6,96.6093943235961,85.7820858133995,87.0051937094202,53.4230996917672,120.557369528692,60.062716791911,108.333094757081
7,91.7137068151006,79.8197002336365,81.4109638091417,43.9488863219992,120.274564820449,50.9969921179817,105.133967367461
8,88.0400798974088,75.1771603787307,76.7217154724756,36.3395753735792,120.965145470869,43.4087159829375,102.387983383037
9,85.1975643107006,71.4828433042498,73.2061269266101,30.101935846785,122.273905909918,36.3491777404763,101.09936309154
10,82.9190210120156,68.4788520889721,69.8836084162975,24.7040064782574,123.977295890866,30.7361636365562,100.251434551181
11,81.0233016194121,65.9853609168521,67.0769164699215,20.2966607555662,125.936726530896,26.0934853500323,100.11017688076
12,79.3883285729916,63.876169978557,64.7130239907179,16.529341966038,128.067459722351,22.1846214069927,100.014244068032
13,77.9322205084845,62.061941105783,62.227658287115,13.6311572946603,130.318343030629,18.8024162033731,100.207082424582
14,76.6002414847501,60.478730700512,60.2710487215848,11.2462565173959,132.658889358189,16.0733596780675,100.199393881456
15,75.3558803960279,59.0801647155239,58.5364172783184,9.22911017547059,135.071189117786,13.6292862149619,99.5491837586686
16,74.1748082745262,57.8321038601843,56.893259652162,7.58269859061588,137.544922806351,11.6173387033736,99.341680848609
17,73.0408130067087,56.7090030353089,55.2649296301065,6.29043741092852,140.074322102221,9.92075663668816,99.0578317027958
18,71.9430782720178,55.6914195623136,53.7033174387465,5.21871372074898,142.656335631936,8.48176559738552,99.1047796529608
19,70.874368989586,54.7642992120149,52.1993793797101,4.31740042081585,145.289529999052,7.26001681651826,99.4235161459403
20,69.8298245096827,53.9157890611281,50.8153143419739,3.54749119503576,147.973435110019,6.22433431592957,99.7456205167285
