statistic,value
Number of studies (k),16
Total observations (N),9208
Tier 1 studies,5
Tier 2 studies,11
Natural colony studies,6
Restoration fragment studies,10
Pooled survival (RE),0.811
95% CI lower,0.732
95% CI upper,0.871
95% PI lower,0.433
95% PI upper,0.960
tau^2,0.6085
tau,0.7801
I^2 (%),97.9
I^2 CI lower,95.9
I^2 CI upper,99.2
Cochran's Q,886.60
Q df,15
Q p-value,0.0000
REML estimation method,REML
Small-sample adjustment,Knapp-Hartung (test='knha')
