region,k_studies,n_total,pooled_surv,pooled_lower,pooled_upper,min_surv,max_surv,has_natural,has_restoration
Virgin Gorda,1,58,0.9655172413793104,0.8827085453568732,0.9904920716688347,0.9655172413793104,0.9655172413793104,TRUE,FALSE
Bahamas,1,112,0.9464285714285714,0.8880297362776992,0.9752190609839579,0.9464285714285714,0.9464285714285714,FALSE,TRUE
Puerto Rico,3,1452,0.8670798898071626,0.8486456411358019,0.8835769463865473,0.7855750487329435,0.9261083743842364,TRUE,TRUE
Dominican Republic,1,44,0.8636363636363636,0.7329054695148456,0.9359704550244412,0.8636363636363636,0.8636363636363636,FALSE,TRUE
Florida,3,4989,0.812788133894568,0.8017247433625501,0.8233702102307048,0.5743801652892562,0.8709677419354839,TRUE,TRUE
Florida Keys,2,494,0.791497975708502,0.75349314800053,0.8250042730102178,0.7592592592592593,0.7954545454545454,FALSE,TRUE
Jamaica,1,515,0.7650485436893204,0.7265526059410063,0.7996196868833143,0.7650485436893204,0.7650485436893204,TRUE,FALSE
USVI,3,346,0.7572254335260116,0.7093832691516057,0.7994186338590697,0.6521739130434783,0.8,TRUE,TRUE
British Virgin Islands,1,1198,0.5317195325542571,0.5034069422760291,0.5598293518642768,0.5317195325542571,0.5317195325542571,FALSE,TRUE
