"model","mean_brier","sd_brier","mean_auc","sd_auc","mean_accuracy"
"Null (intercept only)",0.163567198918045,0.1081484181721,0.5,0,0.823559534456472
"Size class (categorical)",0.168292679239884,0.0885094121247669,0.432042854860626,0.0455373440693278,0.81233432091065
"Linear (log size)",0.241946466763538,0.110201586738527,0.473874442192567,0.135854190831673,0.687897637808029
