excluded_study,excluded_tier,excluded_pop_type,pooled_log_odds,pooled_survival,ci_lower,ci_upper,tau_sq,I_sq,change_pp,influential
NOAA_survey,Tier 1 (individual),Natural colony,1.4233060688829793,0.8058561805687406,0.7192146050642942,0.8705739471476707,0.6410040480035765,97.25871180866795,-0.4854013104566235,FALSE
USGS_USVI_exp,Tier 1 (individual),Restoration fragment,1.5080775722059592,0.8187761283806553,0.7386303665399232,0.8783923149430002,0.613782985540442,98.01029790461534,0.8065934707348399,FALSE
fundemar_fragments,Tier 1 (individual),Restoration fragment,1.435065104937245,0.8076892911994777,0.7219079923548133,0.8717123553438194,0.6414430667014496,98.10471529166902,-0.30209024738291346,FALSE
kuffner_et_al_2020,Tier 1 (individual),Restoration fragment,1.4580260415417676,0.8112305773094882,0.7255567417851653,0.8747753003703882,0.656896239693281,98.14289022143973,0.0520383636181343,FALSE
pausch_et_al_2018,Tier 1 (individual),Restoration fragment,1.5356271495486804,0.8228281420426421,0.7479125328683484,0.8790797497269761,0.5399626887273206,97.180472767913,1.2117948369335219,FALSE
vardi_2011_jamaica,Tier 2 (summary),Natural colony,1.478587466303614,0.8143591310285077,0.7295174216639179,0.8770729816829607,0.6599238176218314,97.98415979884572,0.36489373552007764,FALSE
vardi_2011_puerto_rico,Tier 2 (summary),Natural colony,1.3732436128000676,0.7979037025474102,0.7148787154825456,0.8614384498118749,0.5463360859466713,97.73018388656008,-1.2806491125896713,FALSE
vardi_2011_virgin_gorda,Tier 2 (summary),Natural colony,1.3787720813500193,0.7987937187293435,0.7214393754019801,0.8588694438417923,0.5414869402550885,97.77011205709157,-1.1916474943963418,FALSE
bruckner_bruckner_2001,Tier 2 (summary),Restoration fragment,1.400033408973059,0.802189190004525,0.7166867354484159,0.8666873536062426,0.6037120741531226,97.89893875037896,-0.8521003668781835,FALSE
roth_et_al_2013,Tier 2 (summary),Natural colony,1.4636652317025605,0.812092622420995,0.7262543453620538,0.875624222180678,0.6637849823963456,98.10836496806796,0.13824287476881247,FALSE
ortiz_prosper_2005,Tier 2 (summary),Restoration fragment,1.470221633064552,0.8130910708284713,0.7275801738515156,0.8763232175591483,0.6638704035578131,98.008421603414,0.23808771551644403,FALSE
forrester_et_al_2013,Tier 2 (summary),Restoration fragment,1.5452137556637164,0.8242213740849466,0.752424156750442,0.8785579078237543,0.4954307704362478,96.77082333034173,1.3511180411639678,FALSE
rosales_et_al_2024,Tier 2 (summary),Restoration fragment,1.4658905088155152,0.8124319598844981,0.726648348167567,0.8758927377402482,0.6646709832208834,98.04063505565927,0.17217662111912446,FALSE
maurer_et_al_2022,Tier 2 (summary),Restoration fragment,1.3682310468028547,0.7970942022166807,0.7170944605501279,0.8589222897189422,0.527197387174178,97.70226510354377,-1.3615991456626175,FALSE
williams_miller_2010,Tier 2 (summary),Restoration fragment,1.4775919257642385,0.8142085797619312,0.729799978833273,0.8767033955028575,0.6535515815686942,98.13019075374872,0.34983860886242946,FALSE
garrison_ward_2008,Tier 2 (summary),Natural colony,1.4996242193205611,0.8175184231499305,0.7355995611834437,0.8782570335768504,0.6320354798637663,98.05567337329636,0.6808229476623628,FALSE
