model,R2_marginal,R2_conditional,ICC_study
Intercept only,0,0.28291245092859557,0.28291245092857914
Size only,0.09998983978363563,0.3874163487609711,0.28291245092857914
Region only,0.639957169583451,0.6735613662769734,0.28291245092857914
Year only,0.03438438102895391,0.324515653156777,0.28291245092857914
Full (Size + Region + Year),0.5076944320610145,0.5478299085936711,0.28291245092857914
