region,k,n,pooled_survival,ci_lower,ci_upper,I_sq,tau_sq
Bahamas,1,112,0.9464285714285714,0.8858645797438129,0.9757355858720369,NA,NA
British Virgin Islands,1,1198,0.5317195325542571,0.5033912205327844,0.5598448491582686,NA,NA
Dominican Republic,1,44,0.8636363636363636,0.7280602413546597,0.9374296477716105,NA,NA
Florida,3,4989,0.7705767803625,0.2899388492355837,0.9650689294228295,99.13651551543923,0.7139744097941864
Florida Keys,2,494,0.791293341287169,0.6139832389211239,0.9003743731914422,0,0
Jamaica,1,515,0.7650485436893204,0.7264822031550839,0.7996764552698423,NA,NA
Puerto Rico,3,1452,0.8806290902602145,0.6010971363130702,0.9730581598006085,94.96620193315084,0.38908321796580947
USVI,3,346,0.7299123162939658,0.4977198804595943,0.8805318240336191,67.59615920371992,0.1165910902008449
Virgin Gorda,1,58,0.9655172413793104,0.8723327407718001,0.9913599166825147,NA,NA
