"model","n_obs","n_params","log_lik","deviance","aic","bic","pseudo_r2","model_class","delta_aic","aic_weight","delta_bic","evidence_ratio"
"S7_interaction",5131,12,-2182.63282285996,4365.26564571993,4389.26564571993,4467.78231593123,0.115337361894161,"GLM",0,0.946079301493048,26.9856552568608,1
"S6_size_region",5131,7,-2190.49763485889,4380.99526971778,4394.99526971778,4440.79666067437,0.112149603853366,"GLM",5.72962399784956,0.0539206970944742,0,0.0569938450290369
"S4_threshold",5131,3,-2211.97428349325,4423.9485669865,4429.9485669865,4449.57773453932,0.103444709269379,"GLM",40.6829212665689,1.38593682432682e-09,8.7810738649514,1.46492669498172e-09
"S5_categorical",5131,5,-2213.94315190809,4427.88630381619,4437.88630381619,4470.6015830709,0.102646689415688,"GLM",48.6206580962616,2.61870020465012e-11,29.8049223965281,2.76795000220112e-11
"S3_quadratic",5131,3,-2220.2479558834,4440.4959117668,4446.4959117668,4466.12507931963,0.100091232327754,"GLM",57.2302660468758,3.53617028188567e-13,25.3284186452584,3.73771022820718e-13
"S2_linear",5131,2,-2228.76289755447,4457.52579510894,4461.52579510894,4474.61190681082,0.0966399643530639,"GLM",72.2601493890079,1.9267948215392e-16,33.8152461364489,2.03661026987743e-16
"S1_null",5131,1,-2467.19227064139,4934.38454128278,4936.38454128278,4942.92759713372,8.10462807976364e-15,"GLM",547.118895562849,1.481047191861e-119,502.130936459347,1.56545776820579e-119
"S_ME4_random_slope",5131,5,-2155.4446038111,4275.33129838915,4320.88920762221,4353.60448687692,0.110253466371132,"GLMM",0,0.981492193361809,5.14337992918718,1
"S_ME2_linear",5131,3,-2161.41596969745,4296.73620475202,4328.8319393949,4348.46110694773,0.099989839783633,"GLMM",7.94273177269679,0.0184988427033768,0,0.0188476717680398
"S_ME3_categorical",5131,6,-2166.04822386603,4306.31273992249,4344.09644773206,4383.35478283771,0.101712258236747,"GLMM",23.2072401098485,8.96393481421646e-06,34.8936758899781,9.13296598265665e-06
"S_ME1_null",5131,2,-2273.12892518462,4520.99945861055,4550.25785036923,4563.34396207111,0,"GLMM",229.368642747023,1.53150675365375e-50,214.882855123385,1.56038607745624e-50
