Model,AIC,BIC,Description,Delta_AIC
GLMM_coral,2596.615928150764,2634.2681863997823,Linear + coral/study/location/year RE,0
GLMM_full,2604.690819377733,2636.067701251915,Linear + study/location/year RE,8.074891226969157
GLMM_study,2806.274128867964,2825.1002579924734,Linear + study RE,209.6582007172001
GAM,2825.9850795553093,2846.006808291791,"Smooth (k=4), no RE",229.3691514045454
GLM,2826.2760634909273,2838.8268162406002,No random effects,229.66013534016338
