"n","effect_size","p1","p2","power"
10,0.05,0.81368154355876,0.86368154355876,0.0500135291464536
20,0.05,0.81368154355876,0.86368154355876,0.0500270585169681
30,0.05,0.81368154355876,0.86368154355876,0.0500405881115165
50,0.05,0.81368154355876,0.86368154355876,0.050067647972606
75,0.05,0.81368154355876,0.86368154355876,0.0501014740586736
100,0.05,0.81368154355876,0.86368154355876,0.0501353015440169
150,0.05,0.81368154355876,0.86368154355876,0.0502029607108299
200,0.05,0.81368154355876,0.86368154355876,0.050270625469643
300,0.05,0.81368154355876,0.86368154355876,0.0504059717496654
500,0.05,0.81368154355876,0.86368154355876,0.0506767312641068
10,0.1,0.81368154355876,0.91368154355876,0.0500621893713565
20,0.1,0.81368154355876,0.91368154355876,0.0501243834746862
30,0.1,0.81368154355876,0.91368154355876,0.0501865823073457
50,0.1,0.81368154355876,0.91368154355876,0.0503109941500807
75,0.1,0.81368154355876,0.91368154355876,0.0504665355089065
100,0.1,0.81368154355876,0.91368154355876,0.0506221063352224
150,0.1,0.81368154355876,0.91368154355876,0.0509333362253498
200,0.1,0.81368154355876,0.91368154355876,0.0512446834907208
300,0.1,0.81368154355876,0.91368154355876,0.0518677288298961
500,0.1,0.81368154355876,0.91368154355876,0.0531152135395635
10,0.15,0.81368154355876,0.96368154355876,0.0501665410753916
20,0.15,0.81368154355876,0.96368154355876,0.0503331160500267
30,0.15,0.81368154355876,0.96368154355876,0.0504997248731667
50,0.15,0.81368154355876,0.96368154355876,0.0508330438621423
75,0.15,0.81368154355876,0.96368154355876,0.0512498820934845
100,0.15,0.81368154355876,0.96368154355876,0.0516669301369723
150,0.15,0.81368154355876,0.96368154355876,0.0525016525027101
200,0.15,0.81368154355876,0.96368154355876,0.053337204654718
300,0.15,0.81368154355876,0.96368154355876,0.0550107731845732
500,0.15,0.81368154355876,0.96368154355876,0.0583675921731548
10,0.2,0.81368154355876,0.999,0.0502962660346155
20,0.2,0.81368154355876,0.999,0.0505926392052866
30,0.2,0.81368154355876,0.999,0.0508891192266191
50,0.2,0.81368154355876,0.999,0.0514823986810658
75,0.2,0.81368154355876,0.999,0.0522245939612366
100,0.2,0.81368154355876,0.999,0.0529674472790666
150,0.2,0.81368154355876,0.999,0.0544551103257116
200,0.2,0.81368154355876,0.999,0.055945352523992
300,0.2,0.81368154355876,0.999,0.0589334340415043
500,0.2,0.81368154355876,0.999,0.0649390127489233
