analysis,k,n_total,pooled_survival,ci_lower,ci_upper,I_sq,tau_sq
Tier 1 only (individual),5,5079,0.7689449985636582,0.5689157916018254,0.8935282577074285,97.8010822863607,0.5153865830228052
Tier 1 + 2 (expanded),16,9208,0.8107101936733069,0.7316718382846333,0.8705850431074832,97.8759931820368,0.6085142129659282
