model,marginal_pseudo_r2,aic
Size only,0.09663996435305655,4461.525795108935
Region only,0.009641092638081328,4898.811682808352
Year only,0.04015578283441201,4740.240467221545
Size + Region,0.11214960385335837,4394.995269717777
Full (Size + Region + Year),0.12601143380243807,4328.595670303148
