size_bin,log_size_mid,size_cm2_mid,agr_var,agr_sd,rgr_var,rgr_sd,n
"(0.682,1.76]",1.2540629666740275,3.5045529523990155,9.745570185435493,3.1217895805828255,0.6880603958491999,0.8294940601651104,12
"(1.76,2.82]",2.481094014223789,11.954335479632316,128.9862215658949,11.357210113663255,0.7410915773650859,0.8608667593565719,69
"(2.82,3.89]",3.502006062560163,33.18195030464989,896.3104812302614,29.938444869937072,0.744789636142693,0.863011955967409,469
"(3.89,4.96]",4.37788451122232,79.66931546476057,3743.2278138906354,61.18192391458964,0.5453562267439188,0.738482380794504,577
"(4.96,6.02]",5.457936530317408,234.61280812501934,29206.02334719159,170.89769848418553,0.4712855055457448,0.6865023711144375,371
"(6.02,7.09]",6.594988215935841,731.420267536125,203448.3711893648,451.0525148908548,0.3367427159601632,0.5802953695835968,476
"(7.09,8.15]",7.630332205373428,2059.7341609494756,876340.3423420945,936.1305156558536,0.18975979500370743,0.43561427318639073,521
"(8.15,9.22]",8.708648120119049,6055.051250535286,4549416.930228518,2132.9362227287806,0.10811684620980885,0.3288112622916205,691
"(9.22,10.3]",9.653561512501605,15577.16770561074,21934306.642320246,4683.407588745639,0.07052126445126054,0.265558401206327,449
"(10.3,11.4]",10.520579488166305,37070.60024309758,116092349.0763432,10774.61595957569,0.06262244076516106,0.2502447617137291,60
