"size_class","survival","n","boundary_set","boundaries"
"SC1",0.731704733558788,364,"Standard","25, 100, 500, 2000"
"SC2",0.653677710414201,1326,"Standard","25, 100, 500, 2000"
"SC3",0.780489604406912,906,"Standard","25, 100, 500, 2000"
"SC4",0.888081235797674,825,"Standard","25, 100, 500, 2000"
"SC5",0.946883401470475,1710,"Standard","25, 100, 500, 2000"
"SC1",0.740961224703577,463,"Conservative","30, 120, 600, 2500"
"SC2",0.649967344999484,1378,"Conservative","30, 120, 600, 2500"
"SC3",0.807607587734159,852,"Conservative","30, 120, 600, 2500"
"SC4",0.8946339088815,871,"Conservative","30, 120, 600, 2500"
"SC5",0.949000659939865,1567,"Conservative","30, 120, 600, 2500"
"SC1",0.726274047826645,269,"Liberal","20, 80, 400, 1500"
"SC2",0.652784432324585,1217,"Liberal","20, 80, 400, 1500"
"SC3",0.755495361567026,999,"Liberal","20, 80, 400, 1500"
"SC4",0.887101920283905,770,"Liberal","20, 80, 400, 1500"
"SC5",0.941862846785556,1876,"Liberal","20, 80, 400, 1500"
"SC1",0.565026357055348,94,"Equal_log","10, 47, 224, 1057"
"SC2",0.687571516354029,824,"Equal_log","10, 47, 224, 1057"
"SC3",0.701422780216423,1284,"Equal_log","10, 47, 224, 1057"
"SC4",0.847820654593243,822,"Equal_log","10, 47, 224, 1057"
"SC5",0.938718739547511,2107,"Equal_log","10, 47, 224, 1057"
"SC1",0.671107011574465,1037,"Quantile_based","51, 168, 1157, 5670"
"SC2",0.701259424092629,1017,"Quantile_based","51, 168, 1157, 5670"
"SC3",0.843358655829248,1025,"Quantile_based","51, 168, 1157, 5670"
"SC4",0.921806025548771,1026,"Quantile_based","51, 168, 1157, 5670"
"SC5",0.954945063601859,1026,"Quantile_based","51, 168, 1157, 5670"
