"excluded_study","n_test","rmse","mae","r_squared"
"NOAA_survey",3466,4221.05983835892,1548.32282953951,-0.00278002054687443
"pausch_et_al_2018",557,73.025137554665,58.7072146834163,-0.919911779209784
"USGS_USVI_exp",30,153.415904762253,132.922122850865,-2.92719198079964
"kuffner_et_al_2020",43,152.722981828286,145.220418825573,-31.4930812407639
"mendoza_quiroz_et_al_2023",52,261.592603630469,197.69752768354,-0.210921254514037
"fundemar_fragments",177,99.7164081020266,87.4719214352012,-3.62722002176704
