scenario,recruitment_scenario,year,n,mean_population,median_population,q05,q25,q75,q95
iid,conservative,0,800,999.9999999999985,999.9999999999985,999.9999999999985,999.9999999999985,999.9999999999985,999.9999999999985
iid,conservative,1,800,787.0962431644961,772.8848660570039,532.153711228989,772.8848660570039,858.1222080759339,858.1222080759339
iid,conservative,2,800,627.3530777064508,610.5224084878564,428.3890821724794,610.5224084878564,672.5651442121547,739.1542180100823
iid,conservative,3,800,504.7026492304254,525.0749978037902,332.5436330254021,488.8282272735172,535.8327451402571,584.4971913489195
iid,conservative,4,800,406.5174808368687,421.34137891124874,271.12763647822175,394.81049782296924,457.7343491105933,497.66005867004833
iid,conservative,5,800,327.67446162546844,344.7301613985755,214.89781857436446,320.7226035220973,369.0073145392422,403.3008654185459
iid,conservative,6,800,264.3740980747492,280.55706142425527,172.0394622039004,209.35118701090784,303.45550207211414,339.04186120755145
iid,conservative,7,800,214.1271369475581,231.71037638702956,106.57454258332368,166.50505433013768,247.99534490544434,278.5047968549933
iid,conservative,8,800,173.74918698393438,188.7398850415827,84.68705236827465,133.63147452426966,203.8768940580231,228.78922681564006
iid,conservative,9,800,140.70289975366921,153.81216234433643,68.7702637374511,107.66431578232776,168.1298088517783,187.3143045914125
iid,conservative,10,800,114.07051822283702,126.04424621985615,55.165228541660944,87.8104770333166,138.16984741456332,155.86736164256772
iid,conservative,11,800,92.28493432569226,102.41927781282588,43.92297683103414,71.18423158128772,113.3691334118208,127.71970667987554
iid,conservative,12,800,74.93860335908364,82.9915863498019,35.99171061934696,58.082736325750815,93.41469219855284,104.11800395187407
iid,conservative,13,800,60.67259333274977,66.15852025383813,28.49784328191627,47.45113772861846,76.47789149803923,86.91827194385736
iid,conservative,14,800,49.240422647631426,46.31753853190739,23.021780201327644,38.876593792032324,63.20283861948344,70.38237507053906
iid,conservative,15,800,39.99805437858807,37.12937000258121,17.776509955072417,31.431836570747993,51.65572028382148,58.9624550012439
iid,conservative,16,800,32.539643607583265,30.05091179707439,14.24280178525493,25.496090140215674,42.503391059269894,49.02933099689217
iid,conservative,17,800,26.316043934654672,24.292665523676924,9.71281231317321,20.45228314463096,35.1465576813716,39.90133825401186
iid,conservative,18,800,21.3567473163013,19.801490532576576,7.629127762138794,16.526275768493917,28.82759031638181,33.158216367416074
iid,conservative,19,800,17.37506357314181,16.231670405240816,6.1129227593762065,13.528070412295413,23.44271797722862,26.9872893743328
iid,conservative,20,800,14.077734107626334,13.164952103273862,4.874435864016557,9.912818979920992,19.268877778966548,22.24435207688497
iid,conservative,21,800,11.402799888894496,10.815580012488926,4.062754116126822,7.405898416852764,15.701377143392225,18.316629007764895
iid,conservative,22,800,9.234733504495672,8.801867779935407,3.277817380727783,5.855874173442713,12.93994586445589,15.10281631637105
iid,conservative,23,800,7.491036577284918,7.228200309855961,2.6170935027336326,4.772231793028036,10.5426618274159,12.490012217852856
iid,conservative,24,800,6.0621673801532046,5.888640964670495,2.1076469190944014,3.841126012632502,8.59698941278499,10.190403440462456
iid,conservative,25,800,4.932902143624395,4.794346715913376,1.6975568736080513,3.1338674092029524,7.054418210478353,8.501365349123759
iid,conservative,26,800,4.017592729675238,3.9051882014240515,1.3524153159153738,2.5438618152504615,5.725394268704014,6.9819347333864865
iid,conservative,27,800,3.2391373300773934,3.2083981039148357,1.099018997726097,2.062516681848113,4.604404515133459,5.7431706142712695
iid,conservative,28,800,2.6173695074091867,2.6070376771454304,0.7508832338384541,1.6883143950292965,3.343128151095597,4.8001938539197315
iid,conservative,29,800,2.121231563301122,2.109090400595786,0.6186542049829318,1.3520049687728484,2.588706455678458,3.971199112051906
iid,conservative,30,800,1.7159738131332718,1.727087886431148,0.4765500159357868,1.1044790965550297,2.1039284375365384,3.257823174436973
iid,conservative,31,800,1.3910484978039728,1.4201088687584136,0.39845394685594043,0.8979200447048676,1.7047147058944525,2.6630730672661316
iid,conservative,32,800,1.1236321071119335,1.1351113249482985,0.31626672245943255,0.7329793812455584,1.3830109863582885,2.173909044575446
iid,conservative,33,800,0.9089450818913851,0.9184214648806694,0.2576745375024338,0.5938511346123654,1.1429261391900871,1.7886858277396813
iid,conservative,34,800,0.7349163785784857,0.6390076372718465,0.20693242825713626,0.4780438165753711,0.9258750360093457,1.4544957948315955
iid,conservative,35,800,0.5921590966153933,0.500231147980043,0.16583045484575637,0.3760435698937052,0.7543599541770151,1.1897270283634114
iid,conservative,36,800,0.47915228532143556,0.4088821384443506,0.13366631255489336,0.2767838672954816,0.6149549920414422,0.9848032390920585
iid,conservative,37,800,0.3880934991380196,0.32993081591058226,0.10751602785899189,0.21459633617470983,0.5038153021727115,0.8108780997764229
iid,conservative,38,800,0.3135568704754604,0.27047146967990554,0.08622023380367619,0.17162286085192965,0.41064866950832885,0.6673473919162924
iid,conservative,39,800,0.25475911980583166,0.2180067240892965,0.07001920295372914,0.1381599531322909,0.3335305075537929,0.5530989966190785
iid,conservative,40,800,0.20560555441225964,0.17683055630069933,0.04952946114523563,0.11215316978514371,0.2737854221231867,0.4536921364817427
iid,conservative,41,800,0.1659141081610497,0.14227291203917733,0.038854397216986906,0.09086488458586338,0.2237144345589112,0.3738319373150339
iid,conservative,42,800,0.13448286422192257,0.11705412291670439,0.03014219101003967,0.07383226916516056,0.18368655572808162,0.3030749488103897
iid,conservative,43,800,0.10907881766602025,0.09606991059235521,0.02398247750534016,0.06079654603639687,0.149040980639578,0.2535535020590966
iid,conservative,44,800,0.0881976788890541,0.07819229572546837,0.01991888463540984,0.04839285212176493,0.12110832155627725,0.2047939068100104
iid,conservative,45,800,0.07134724665372454,0.06421821642570848,0.01553106249475394,0.03937870950192824,0.09861203215111865,0.168779469037885
iid,conservative,46,800,0.05776054138887083,0.05214540643213003,0.012801959210354113,0.03161774771274501,0.08030938757374491,0.13802604417861736
iid,conservative,47,800,0.04681734793681864,0.04218533606306771,0.010317686630038467,0.02590124614183187,0.0659502400148081,0.11250080649703922
iid,conservative,48,800,0.03782351231180847,0.034200232600630126,0.008510156115447984,0.020656601745486117,0.052689538292188455,0.09094305998878381
iid,conservative,49,800,0.030666003091570575,0.027670796934310307,0.0069295806308622586,0.014962943504215544,0.04293559675338873,0.07396724712818384
