"n","effect_size","p1","p2","power"
10,0.05,0.784916961611761,0.834916961611762,0.0500102584053206
20,0.05,0.784916961611761,0.834916961611762,0.0500205169394661
30,0.05,0.784916961611761,0.834916961611762,0.0500307756024247
50,0.05,0.784916961611761,0.834916961611762,0.0500512933147333
75,0.05,0.784916961611761,0.834916961611762,0.0500769411794813
100,0.05,0.784916961611761,0.834916961611762,0.0501025898489027
150,0.05,0.784916961611761,0.834916961611762,0.0501538896010244
200,0.05,0.784916961611761,0.834916961611762,0.0502051925696154
300,0.05,0.784916961611761,0.834916961611762,0.0503078081502731
500,0.05,0.784916961611761,0.834916961611762,0.0505130778439819
10,0.1,0.784916961611761,0.884916961611761,0.0500458339644583
20,0.1,0.784916961611761,0.884916961611761,0.0500916704996517
30,0.1,0.784916961611761,0.884916961611761,0.0501375096045215
50,0.1,0.784916961611761,0.884916961611761,0.0502291955190575
75,0.1,0.784916961611761,0.884916961611761,0.0503438173478096
100,0.1,0.784916961611761,0.884916961611761,0.0504584552006721
150,0.1,0.784916961611761,0.884916961611761,0.0506877789126494
200,0.1,0.784916961611761,0.884916961611761,0.0509171665228932
300,0.1,0.784916961611761,0.884916961611761,0.051376132910289
500,0.1,0.784916961611761,0.884916961611761,0.0522948266629859
10,0.15,0.784916961611761,0.934916961611762,0.0501180029283658
20,0.15,0.784916961611761,0.934916961611762,0.0502360228841214
30,0.15,0.784916961611761,0.934916961611762,0.0503540598492117
50,0.15,0.784916961611761,0.934916961611762,0.0505901847352112
75,0.15,0.784916961611761,0.934916961611762,0.0508854361988844
100,0.15,0.784916961611761,0.934916961611762,0.0511807933510515
150,0.15,0.784916961611761,0.934916961611762,0.051771823595838
200,0.15,0.784916961611761,0.934916961611762,0.0523632732222127
300,0.15,0.784916961611761,0.934916961611762,0.0535474216518922
500,0.15,0.784916961611761,0.934916961611762,0.0559206526856464
10,0.2,0.784916961611761,0.984916961611761,0.0502481607200924
20,0.2,0.784916961611761,0.984916961611761,0.0504963966459932
30,0.2,0.784916961611761,0.984916961611761,0.050744707609923
50,0.2,0.784916961611761,0.984916961611761,0.0512415539814282
75,0.2,0.784916961611761,0.984916961611761,0.0518630310514317
100,0.2,0.784916961611761,0.984916961611761,0.052484971357184
150,0.2,0.784916961611761,0.984916961611761,0.0537302312562778
200,0.2,0.784916961611761,0.984916961611761,0.0549773128921087
300,0.2,0.784916961611761,0.984916961611761,0.0574768586485656
500,0.2,0.784916961611761,0.984916961611761,0.0624969057215823
