population_type,n,survival,n_studies,mean_size_cm2,median_size_cm2,ci_lower,ci_upper,effect_size_pp
Natural colony,5336,0.8257121439280359,3,3774.4920555492654,920.0555555555557,0.8153001914963308,0.8356554645481232,0.1941768742184924
Restoration fragment,1205,0.6315352697095435,5,227.5478887966793,52,0.6039208726113,0.6583136807181785,0.1941768742184924
