state_from,annual_survival_probability,annual_death_probability,p_backward_given_alive,p_stasis_given_alive,p_forward_given_alive,p_backward_unconditional,p_stasis_unconditional,p_forward_unconditional
SC1,0.9211483656175201,0.07885163438247988,0,0.08435882691885363,0.9156411730811462,0,0.07770699554171329,0.8434413700758067
SC2,0.9542499195115612,0.04575008048843876,0.0036293811411991497,0.5889063491726051,0.40746426968619565,0.0034633366618660667,0.5619638362978058,0.38882274655188925
SC3,0.970573069595907,0.029426930404093055,0.08491288743949103,0.757153275489423,0.15793383707108608,0.08241416181039854,0.7348725787463647,0.15328632903914385
SC4,0.9860980247547655,0.01390197524523451,0.14191288009373199,0.6357436360569574,0.22234348384931063,0.139940010747689,0.6269055437661781,0.2192524702408983
SC5,0.992823523205099,0.007176476794900966,0.05045778624163583,0.9495422137583642,0,0.05009567710955065,0.9427278460955484,0
