metric,n,mean,median,sd,min,max,pct_positive,pct_shrinking
AGR,5487,-149.54762170807066,36.7205438066465,2383.468183562478,-46537.5,30074.2234640523,60.57955166757792,38.4180790960452
RGR,5487,0.21854733098037718,0.12083483267362367,0.7075277469176934,NA,NA,60.57955166757792,38.4180790960452
