"script","description","status","duration_sec"
"00_standardize_neely.R","Standardize Neely et al. 2022 FKNMS data","SUCCESS",0.9
"01_data_preparation.R","Data preparation and cleaning","SUCCESS",5
"02_survival_thresholds.R","Survival threshold analysis","SUCCESS",17.6
"03_growth_thresholds.R","Growth threshold analysis","SUCCESS",12.3
"04_growth_rate_comparison.R","Growth rate analysis (AGR vs RGR)","SUCCESS",90.7
"05_variance_partitioning.R","Variance partitioning (size/space/time)","SUCCESS",40.4
"06_data_gap_analysis.R","Data gap analysis and certainty scoring","SUCCESS",2.5
"07_integrate_summary_data.R","Integrate summary data","SUCCESS",2.1
"08_climate_demography.R","Climate-demography integration","SUCCESS",4.5
"09_power_analysis.R","Power analysis for future studies","SUCCESS",22.1
"10_cross_validation.R","Cross-validation framework","SUCCESS",9.9
"11_context_comparison.R","Context comparison (field/nursery/lab)","SUCCESS",2.6
"12_model_selection.R","Model selection tables","SUCCESS",7.1
"13_transition_matrix.R","Transition matrix population model","SUCCESS",4469.4
"14_meta_analysis.R","Formal meta-analysis (k=5, random effects)","SUCCESS",4
"14b_expanded_meta_analysis.R","Expanded meta-analysis (k=16, two-tier)","SUCCESS",3.3
"15_heterogeneity_analysis.R","Heterogeneity analysis (I², Q-tests)","SUCCESS",1.8
"16_sensitivity_analysis.R","Sensitivity analysis (LOSO, elasticity)","SUCCESS",26.8
"17_update_parameter_lists.R","Update parameter lists for API","SUCCESS",39.4
"18_fig1_study_landscape.R","Figure 1: Study landscape with map","SUCCESS",4.4
"19_fig2_demographic_rates.R","Figure 2: Demographic rates (survival + RGR)","SUCCESS",2.8
"20_fig_size_class_survival_synthesis.R","Figure 4: Size-class survival synthesis (k=15)","SUCCESS",2
"20b_fig_expanded_forest_plot.R","Figure 5: Expanded forest plot (k=16)","SUCCESS",2.4
"20c_fig_regional_survival.R","Figure S15: Regional survival variation","SUCCESS",2
"21_fig3_natural_vs_restoration.R","Figure 3: Natural vs restoration comparison","SUCCESS",3.2
"22_fig6_population_model.R","Figure 6: Population model & sensitivity","SUCCESS",2.6
"23_figS2_data_gaps.R","Figure S2: Data gaps heatmap","SUCCESS",2
"24_supp_S3_S4.R","Supplementary S3-S4: Model diagnostics & selection","SUCCESS",3.5
"25_supp_S5_S6_S7_thresholds_growth.R","Supplementary S5-S7: Thresholds & growth","SUCCESS",4.9
"26_supp_S8_S9.R","Supplementary S8-S9: Forest plots & heterogeneity","SUCCESS",2.5
"27_supp_S10_S11.R","Supplementary S10-S11: Context & climate","SUCCESS",2.6
"28_supp_S12_S13_S14.R","Supplementary S12-S14: Sensitivity & projections","SUCCESS",3.8
"29_natural_vs_restoration.R","Natural vs restoration (within-region + size-matched)","SUCCESS",2.8
"30_disturbance_sensitivity.R","Disturbance sensitivity analysis","SUCCESS",2.7
"31_heat_stress_overlay.R","Heat stress overlay","FAILED",2.1
"31b_verify_dhw.R","DHW/site-year verification","SUCCESS",350.4
"32_disturbance_survival_analysis.R","Disturbance survival analysis","SUCCESS",3.2
"33_hurricane_exposure.R","Hurricane exposure summary","SUCCESS",4.8
"34_disturbance_summaries.R","Disturbance catalogs and summary figures","SUCCESS",2.4
"35_curate_literature_scope.R","Literature scope curation","SUCCESS",0.4
"36_shrinkage_retrogression_summary.R","Shrinkage and retrogression synthesis","SUCCESS",2.4
"37_disturbance_size_interaction.R","Disturbance-by-size interaction analysis","SUCCESS",11.2
"38_study_window_disturbance_audit.R","Study-window disturbance audit","SUCCESS",2.3
"39_restoration_subtype_sensitivity.R","Restoration subtype sensitivity analysis","SUCCESS",1.9
"40_manzello_heatwave_scenarios.R","Manzello 2025 heatwave scenario projections","SUCCESS",3.1
"23_verification.R","Pipeline verification","SUCCESS",0.8
