model,marginal_pseudo_r2,aic
Size only,0.09042330034010582,6961.224340478091
Region only,0.01087695267199229,7579.663174058223
Year only,0.026286970446890545,7451.794113878021
Size + Region,0.10476658672457473,6863.514558780969
Full (Size + Region + Year),0.11414362565261782,6793.790905903554
