"excluded_study","n_test","rmse","mae","r_squared"
"NOAA_survey",3466,4219.29315856349,1556.34946101997,-0.00194079033975458
"pausch_et_al_2018",557,77.0839988644096,65.2978466218693,-1.13926693366956
"USGS_USVI_exp",30,140.877649540357,124.631565883344,-2.31150606772957
"kuffner_et_al_2020",43,151.710100513763,145.369693388074,-31.0635126579354
"mendoza_quiroz_et_al_2023",52,256.993825497979,190.433232846328,-0.168719686613879
"fundemar_fragments",177,100.72619700712,89.4841964393345,-3.72141061473453
"neely_et_al_2022",1570,2344.96281552479,859.595367070207,-0.00880989483749461
