region,k_studies,n_total,pooled_surv,pooled_lower,pooled_upper,min_surv,max_surv,has_natural,has_restoration
Virgin Gorda,1,27,0.9629629629629629,0.8171653406642416,0.9934318540192151,0.9629629629629628,0.9629629629629628,TRUE,FALSE
Bahamas,1,24,0.9583333333333334,0.7975819352134407,0.9926065438344941,0.9583333333333334,0.9583333333333334,FALSE,TRUE
Florida,1,3968,0.8709677419354839,0.8601771495924255,0.881040754123732,0.8709677419354839,0.8709677419354839,TRUE,FALSE
Dominican Republic,1,44,0.8636363636363636,0.7329054695148456,0.9359704550244412,0.8636363636363636,0.8636363636363636,FALSE,TRUE
Puerto Rico,3,442,0.8552036199095022,0.8193358901752945,0.8849503393525042,0.7874396135265701,0.9230769230769232,TRUE,TRUE
Dry Tortugas,1,53,0.8113207547169812,0.6864154091329746,0.8941467489231409,0.8113207547169812,0.8113207547169812,FALSE,TRUE
Jamaica,1,88,0.7613636363636364,0.6625735503266281,0.8382895739167235,0.7613636363636364,0.7613636363636364,TRUE,FALSE
Cuba,1,200,0.705,0.6384128547538122,0.7638605614315084,0.705,0.705,FALSE,TRUE
USVI,2,91,0.6703296703296703,0.5685702786797696,0.7582909947070954,0.6521739130434783,0.6888888888888889,TRUE,TRUE
US Virgin Islands,2,242,0.6115702479338843,0.5488763218827817,0.6707774348881022,0.4797687861271676,0.9420289855072465,TRUE,FALSE
Florida Keys,3,1044,0.5900383141762452,0.5599272655256546,0.6194891895281345,0.5743801652892562,0.7931034482758621,FALSE,TRUE
British Virgin Islands,1,257,0.5330739299610895,0.4720399853002446,0.5931337032570105,0.5330739299610895,0.5330739299610895,FALSE,TRUE
