analysis_subset,n_records,n_studies,n_regions,n_locations,n_shrinkage,shrinkage_frequency,mean_tissue_loss_cm2_yr,median_tissue_loss_cm2_yr,shrinkage_frequency_pct,shrinkage_ci_lower,shrinkage_ci_upper
matrix_compatible,5111,7,6,35,2012,0.39366073175503813,1450.9653715652255,385.9844366328402,39.366073175503814,0.3802327172851322,0.40721031251258943
all_clean,5637,7,7,37,2158,0.38282774525456803,1433.9865270605471,360.8376130592028,38.2827745254568,0.3701133868105327,0.3956635085095723
