region,n,survival,se,n_studies,n_sites,ci_lower,ci_upper
Dry Tortugas,24,1,0,1,2,0.8620237953250198,1
Mexican Caribbean,52,1,0,1,3,0.9312077638761377,0.9999999999999999
Navassa,102,0.9215686274509803,0.026620037482681685,1,2,0.8528127275871087,0.9597233141325401
Dominican Republic,44,0.8636363636363636,0.05173547117995419,1,1,0.7329054695148456,0.9359704550244412
Curacao,856,0.8457943925233645,0.012343706922290728,1,4,0.8200610066112165,0.8684380113495492
Florida Keys,4007,0.8018467681557275,0.0062970421503876755,3,16,0.7892182176083075,0.8138971198678485
US Virgin Islands,46,0.6521739130434783,0.0702237263554129,1,3,0.5077005884206277,0.7731900662924566
