model,term,estimate,std_error,statistic,p_value,effect_type,hazard_ratio
longitudinal_lme,(Intercept),6.7715682572193945,0.08165907567696833,82.92487027414754,0,mean_log_live_size,NA
longitudinal_lme,year_center,-0.098069911991879255,0.0153467977319341,-6.3902524621023895,1.829546298437417e-10,mean_log_live_size,NA
longitudinal_lme,I(year_center^2),-2.8528855836780883e-4,8.063684612499274e-4,-0.3537942914156038,0.7235101509016348,mean_log_live_size,NA
longitudinal_lme,disturbance_statenone,0.4925415335571505,0.10387212359787523,4.741806718652913,2.1857842699474456e-6,mean_log_live_size,NA
longitudinal_lme,disturbance_statepollution,-0.9825094342119431,0.7763387902449133,-1.2655678764962766,0.20576960571601594,mean_log_live_size,NA
longitudinal_lme,disturbance_statesargassum,-0.052480310126358495,0.07300989850296523,-0.7188108900634488,0.47229594935883756,mean_log_live_size,NA
longitudinal_lme,disturbance_statestorm,0.866066223356426,0.1301805401687201,6.652808647390489,3.2308707814853146e-11,mean_log_live_size,NA
longitudinal_lme,pop_typeRestoration fragment,-1.363925785394093,0.060624706599564177,-22.49785379421363,3.852498415443705e-106,mean_log_live_size,NA
hazard_cloglog_glmmTMB,(Intercept),-0.7930005939076309,0.5300249480960307,-1.4961571087479335,0.1346127187058989,log_hazard_ratio,0.4524850324229233
hazard_cloglog_glmmTMB,z_pred_log_live,-0.7966843560495002,0.043176340140679954,-18.45187325868037,5.0368485497188836e-76,log_hazard_ratio,0.4508212515586741
hazard_cloglog_glmmTMB,z_pred_velocity,5.379990050328806,0.5548345644778316,9.696566138398472,3.118165263585057e-22,log_hazard_ratio,217.02011613540742
hazard_cloglog_glmmTMB,disturbance_statenone,0.9982913704690907,0.2818391215455493,3.542061034659279,3.9701360041906775e-4,log_hazard_ratio,2.7136412574908833
hazard_cloglog_glmmTMB,disturbance_statepollution,7.437694204580625,182541.78532072785,4.07451597534916e-5,0.9999674900661142,log_hazard_ratio,1698.8285505131064
hazard_cloglog_glmmTMB,disturbance_statesargassum,0.33690405824674646,0.20447828602807866,1.6476275539618093,0.09942912261844065,log_hazard_ratio,1.4006046808234787
hazard_cloglog_glmmTMB,disturbance_statestorm,2.8995423949504393,0.2563753331150956,11.30975573866436,1.1741593807652345e-29,log_hazard_ratio,18.165830691314994
hazard_cloglog_glmmTMB,pop_typeRestoration fragment,-2.198303484977759,0.6786736808108541,-3.2391170412727774,0.0011990036058583606,log_hazard_ratio,0.11099129713000565
hazard_cloglog_glmmTMB,z_year,5.833024439727272,0.5659472309263265,10.306657795957305,6.574815710869488e-25,log_hazard_ratio,341.3896316233185
hazard_cloglog_glmmTMB,regionDominican Republic,-1.5571817628593245,1.0094254066181445,-1.5426417372199062,0.12291772540034543,log_hazard_ratio,0.21072911976444053
hazard_cloglog_glmmTMB,regionDry Tortugas,-17.721358405863192,1976.4134388718905,-0.008966422741983731,0.9928459255893741,log_hazard_ratio,2.012388526241834e-8
hazard_cloglog_glmmTMB,regionFlorida Keys,-0.2631539354762606,0.1842491724398692,-1.4282502981778245,0.1532198279343005,log_hazard_ratio,0.7686235697687132
hazard_cloglog_glmmTMB,regionNavassa,-0.0837741296637019,0.4085896379488122,-0.20503243813098623,0.8375467813946229,log_hazard_ratio,0.919638951797408
hazard_cloglog_glmmTMB,regionUS Virgin Islands,-0.26744421087753883,0.9483156678872176,-0.2820202385492441,0.7779279917996618,log_hazard_ratio,0.7653330266897761
