"model","n_obs","n_params","log_lik","deviance","aic","bic","pseudo_r2","is_singular","convergence_ok","optimizer_messages","model_class","analysis_scope","canonical_for_manuscript","delta_aic","aic_weight","delta_bic","evidence_ratio"
"G3_quadratic",5895,3,-56367.2749722986,69719100695.1398,112742.549944597,112769.277383849,0.00724770197092772,NA,TRUE,NA,"LM","classical_baseline_reference",FALSE,0,0.999998179859911,0,1
"G2_linear",5895,2,-56381.9786331017,70067764714.0232,112769.957266203,112790.002845642,0.00228296486825039,NA,TRUE,NA,"LM","classical_baseline_reference",FALSE,27.4073216061952,1.11834278661074e-06,20.7254617932194,1.11834482215498e-06
"G5_size_region",5895,8,-56376.4527539747,69936526958.9017,112770.905507949,112831.042246266,0.00415170071948622,NA,TRUE,NA,"LM","classical_baseline_reference",FALSE,28.3555633522919,6.96092351632184e-07,61.7648624171416,6.96093618620085e-07
"G1_null",5895,1,-56388.715364841,70228092983.0676,112781.430729682,112794.794449308,0,NA,TRUE,NA,"LM","classical_baseline_reference",FALSE,38.8807850849844,3.60698222615839e-09,25.5170654590329,3.60698879138329e-09
"G4_categorical",5895,5,-56385.2572667854,70145747529.4181,112782.514533571,112822.605692449,0.00117254292622827,NA,TRUE,NA,"LM","classical_baseline_reference",FALSE,39.9645889736275,2.09796857223062e-09,53.3283085995645,2.09797239083427e-09
"G_ME3_categorical",5895,6,-56356.8662339166,112713.732467833,112727.732467833,112774.505486524,0.000480936137902642,FALSE,TRUE,NA,"LMM","classical_baseline_reference",FALSE,0,0.99999759949085,0,1
"G_ME2_linear",5895,3,-56373.1217104984,112746.243420997,112754.243420997,112780.970860249,0.00107931044550878,FALSE,TRUE,NA,"LMM","classical_baseline_reference",FALSE,26.5109531636845,1.75072777972097e-06,6.46537372477178,1.75073198236911e-06
"G_ME4_random_slope",5895,5,-56372.1133190796,112744.226638159,112756.226638159,112796.317797037,0.000641267078558957,TRUE,FALSE,"boundary (singular) fit: see help('isSingular')","LMM","classical_baseline_reference",FALSE,28.4941703259829,6.49484046743258e-07,21.8123105130071,6.49485605839397e-07
"G_ME1_null",5895,2,-56382.8024323115,112765.604864623,112771.604864623,112791.650444062,0,FALSE,TRUE,NA,"LMM","classical_baseline_reference",FALSE,43.872396789724,2.97323365888809e-10,17.1449575378356,2.97324079617983e-10
