region,k,n,pooled_survival,ci_lower,ci_upper,tau_sq,I_sq,Q,p_Q
Curacao,1,3968,0.8709677419354839,NA,NA,NA,NA,NA,NA
Dominican Republic,1,44,0.8636363636363636,NA,NA,NA,NA,NA,NA
Dry Tortugas,1,53,0.8113207547169812,NA,NA,NA,NA,NA,NA
Florida Keys,2,3183,0.6500875057874004,0.03159917418278625,0.9906349630589709,0.19916124896784584,98.40484813740966,62.68995595040805,2.419463911488957e-15
US Virgin Islands,1,46,0.6521739130434783,NA,NA,NA,NA,NA,NA
