"cv_method","target_model","n_folds","mean_brier","sd_brier","mean_auc","mean_pr_auc","sd_auc","mean_accuracy","mean_sensitivity","mean_specificity","mean_balanced_accuracy","mean_ece","mean_mce","weighted_mean_brier","weighted_mean_auc","n_single_class_holdouts","auc_defined_fraction","total_n_test"
"LORO","Threshold GLM",7,0.162346672673164,0.0496011474753614,0.667704232001264,0.895195643628315,0.128128103000662,0.828575752582691,0.959413248378064,0.0363636363636364,0.515412117687488,0.194065275487547,0.342199373668649,0.16496127416872,0.70757746098061,2,0.714285714285714,7346
"LOSCO","Threshold GLM",5,0.176714623295571,0.0803208664344617,0.564926793948991,0.786404547284203,0.0309061696814767,0.7276678973044,0.887536231884058,0.124022346368715,0.505779289126386,0.068467454143382,0.083354598052056,0.157075992513007,0.568964938398033,0,1,7346
"Temporal","Threshold GLM",3,0.184044110297054,0.0125432046008828,0.62996893528689,0.840318539748341,0.00848522854006276,0.751589536750344,0.975780216054816,0.105926603409589,0.540853409732202,0.069271376126585,0.290655191144783,0.19212936383999,0.624479347257862,0,1,2362
"K-fold","Threshold GLM",5,0.192721851422129,0.0513516063952866,0.591581134556847,0.826233597802418,0.107396578954835,0.754084004640137,0.965830041811741,0.0692823460064839,0.517556193909112,0.166773177796108,0.477102323552366,0.161698816281534,0.667367911582123,0,1,7346
"LOSO","Threshold GLM",7,0.194939632489857,0.0466791502562368,0.607278151716452,0.820119811602568,0.0977603447813641,0.756400431452459,0.961422504998675,0.061379874465812,0.52260947540521,0.184112346670673,0.408848234214553,0.16120835060549,0.668955169307496,1,0.857142857142857,7346
