excluded_study,pooled_log_odds,pooled_survival,se,ci_lower,ci_upper,tau_sq,I_sq,change_from_full,influential
NOAA_survey,0.9457757975446922,0.7202648638267432,0.26736584969843286,0.5506875821394877,0.8439744442719923,0.27305014806521377,95.93532060792198,-0.03885413366041013,TRUE
USGS_USVI_exp,1.2465321822718123,0.776698988112904,0.3091855987187028,0.5958241072434456,0.8913852043853097,0.4540438745726101,98.8323130433424,0.017579990625750774,FALSE
fundemar_fragments,1.043758293478374,0.7395745201200526,0.2940241317893594,0.5566103358232874,0.8653086215007739,0.415346659242959,98.73662208152902,-0.019544477367100632,FALSE
kuffner_et_al_2020,1.0975178307243474,0.7497947329920075,0.3235060551671931,0.5496659346499642,0.8803464073073524,0.4829191661648002,98.90585139937856,-0.009324264495145784,FALSE
neely_et_al_2022,1.2023636599873213,0.7689449985636582,0.3331363112079152,0.5689157916018254,0.8935282577074285,0.5153865830228052,97.8010822863607,0.009826001076504887,FALSE
pausch_et_al_2018,1.3438758802256794,0.7931266059699379,0.2522576245496284,0.6555434058980937,0.8853658632598423,0.26865779586554966,97.00442169621913,0.03400760848278461,TRUE
