size_class,region,n,sample_score,geographic_score,temporal_score,priority_score,gap_description,priority_rank
SC5,Dominican Republic,0,1,0.5714285714285714,0.14285714285714285,0.5714285714285714,SC5 - Dominican Republic,1
SC5,Dry Tortugas,0,1,0.5714285714285714,0.14285714285714285,0.5714285714285714,SC5 - Dry Tortugas,2
SC5,Mexican Caribbean,0,1,0.5714285714285714,0.14285714285714285,0.5714285714285714,SC5 - Mexican Caribbean,3
SC5,US Virgin Islands,0,1,0.5714285714285714,0.14285714285714285,0.5714285714285714,SC5 - US Virgin Islands,4
SC4,Dominican Republic,0,1,0.42857142857142855,0.047619047619047616,0.4920634920634921,SC4 - Dominican Republic,5
SC4,Dry Tortugas,0,1,0.42857142857142855,0.047619047619047616,0.4920634920634921,SC4 - Dry Tortugas,6
SC4,US Virgin Islands,0,1,0.42857142857142855,0.047619047619047616,0.4920634920634921,SC4 - US Virgin Islands,7
SC4,Mexican Caribbean,4,0.96,0.42857142857142855,0.047619047619047616,0.47873015873015873,SC4 - Mexican Caribbean,8
SC1,Navassa,0,1,0.14285714285714285,0.19047619047619047,0.4444444444444444,SC1 - Navassa,9
SC3,Dominican Republic,0,1,0.2857142857142857,0.047619047619047616,0.4444444444444444,SC3 - Dominican Republic,10
SC3,Dry Tortugas,0,1,0.2857142857142857,0.047619047619047616,0.4444444444444444,SC3 - Dry Tortugas,11
SC1,US Virgin Islands,1,0.99,0.14285714285714285,0.19047619047619047,0.44111111111111106,SC1 - US Virgin Islands,12
SC1,Dominican Republic,2,0.98,0.14285714285714285,0.19047619047619047,0.43777777777777777,SC1 - Dominican Republic,13
SC1,Dry Tortugas,3,0.97,0.14285714285714285,0.19047619047619047,0.4344444444444444,SC1 - Dry Tortugas,14
SC5,Navassa,42,0.5800000000000001,0.5714285714285714,0.14285714285714285,0.43142857142857144,SC5 - Navassa,15
SC1,Curacao,4,0.96,0.14285714285714285,0.19047619047619047,0.43111111111111106,SC1 - Curacao,16
SC4,Navassa,22,0.78,0.42857142857142855,0.047619047619047616,0.4187301587301588,SC4 - Navassa,17
SC1,Mexican Caribbean,9,0.91,0.14285714285714285,0.19047619047619047,0.41444444444444445,SC1 - Mexican Caribbean,18
SC3,US Virgin Islands,11,0.89,0.2857142857142857,0.047619047619047616,0.4077777777777778,SC3 - US Virgin Islands,19
SC3,Mexican Caribbean,17,0.83,0.2857142857142857,0.047619047619047616,0.3877777777777778,SC3 - Mexican Caribbean,20
SC3,Navassa,22,0.78,0.2857142857142857,0.047619047619047616,0.37111111111111117,SC3 - Navassa,21
SC2,Navassa,16,0.84,0,0.09523809523809523,0.3117460317460317,SC2 - Navassa,22
SC2,Dry Tortugas,21,0.79,0,0.09523809523809523,0.2950793650793651,SC2 - Dry Tortugas,23
SC2,Mexican Caribbean,22,0.78,0,0.09523809523809523,0.29174603174603175,SC2 - Mexican Caribbean,24
SC2,US Virgin Islands,34,0.6599999999999999,0,0.09523809523809523,0.2517460317460317,SC2 - US Virgin Islands,25
SC5,Curacao,324,0,0.5714285714285714,0.14285714285714285,0.23809523809523805,SC5 - Curacao,26
SC5,Florida Keys,904,0,0.5714285714285714,0.14285714285714285,0.23809523809523805,SC5 - Florida Keys,27
SC2,Dominican Republic,42,0.5800000000000001,0,0.09523809523809523,0.2250793650793651,SC2 - Dominican Republic,28
SC1,Florida Keys,75,0.25,0.14285714285714285,0.19047619047619047,0.19444444444444442,SC1 - Florida Keys,29
SC4,Curacao,285,0,0.42857142857142855,0.047619047619047616,0.15873015873015872,SC4 - Curacao,30
SC4,Florida Keys,635,0,0.42857142857142855,0.047619047619047616,0.15873015873015872,SC4 - Florida Keys,31
SC2,Curacao,68,0.31999999999999995,0,0.09523809523809523,0.1384126984126984,SC2 - Curacao,32
SC3,Curacao,175,0,0.2857142857142857,0.047619047619047616,0.1111111111111111,SC3 - Curacao,33
SC3,Florida Keys,1000,0,0.2857142857142857,0.047619047619047616,0.1111111111111111,SC3 - Florida Keys,34
SC2,Florida Keys,1393,0,0,0.09523809523809523,0.031746031746031744,SC2 - Florida Keys,35
