disturbance_cat,n,n_survived,survival_rate,se,ci_lower,ci_upper,n_studies
None recorded,5772,4710,0.816008316008316,0.005100153276771946,0.806012015585843,0.826004616430789,7
Disease,1014,570,0.5621301775147929,0.015580162405882326,0.5315930591992635,0.5926672958303223,1
Storm,560,486,0.8678571428571429,0.014310405957165998,0.8398087471810975,0.8959055385331882,1
