outcome,model,term,estimate,std_error,statistic,p_value,effect_type,effect,ci_lower,ci_upper
survival,window,(Intercept),0.590186908606725,1.5817720077367334,0.3731175578528472,0.7090609514842736,odds_ratio,1.804325627872102,0.08126123206251314,40.063273577879976
survival,window,log_size,0.36676460092022983,0.018182218700789145,20.171608699454897,1.738894254641457e-90,odds_ratio,1.4430581845614454,1.392537263029045,1.4954119931412855
survival,window,log_interval,-0.5387012527391651,0.10946731396136783,-4.9211151095684915,8.605249704957756e-7,odds_ratio,0.583505586757042,0.47083046903980047,0.7231451491893537
survival,window,acute_recent,0.5610925418983185,0.08487934848864885,6.610471827235513,3.8309702240978376e-11,odds_ratio,1.752586228576713,1.4839820052963222,2.069808446217255
survival,window,acute_delayed,0.33011323159389483,0.08079590312978976,4.08576696102529,4.3931455450357526e-5,odds_ratio,1.3911256389194349,1.1873848234686477,1.6298259039607008
survival,window,context_recent,0.03188814990184046,0.05474758124374098,0.5824576936078993,0.5602584301766758,odds_ratio,1.0324020245791843,0.9273565965523705,1.1493463726011321
survival,window,context_delayed,-0.019836830189755947,0.05616961532469764,-0.3531594452816867,0.723968909409627,odds_ratio,0.9803586251875843,0.8781575353393283,1.094454007740549
survival,window,catastrophic_recent,-2.2091484863741155,0.30154805733917367,-7.3260246007465435,2.370802908696342e-13,odds_ratio,0.10979409989440536,0.06079895493304982,0.1982722299239687
survival,window,catastrophic_delayed,-16.91009097502604,617.0418267984769,-0.02740509677077175,0.9781366331416048,odds_ratio,4.529401306889837e-8,0,Inf
survival,unconstrained,(Intercept),0.24958076042802368,1.5637423282517644,0.15960478649129517,0.8731924082466858,odds_ratio,1.2834872152471963,0.059883504069660164,27.509068771037786
survival,unconstrained,log_size,0.3832905022672362,0.018570469196277577,20.63978557655755,1.2059633632177634e-94,odds_ratio,1.467104165255061,1.414664474725696,1.5214877238831488
survival,unconstrained,log_interval,0.08809010250182117,0.13489569050501304,0.6530238451060639,0.5137409060913813,odds_ratio,1.0920865173227157,0.838361865847016,1.4225992496844952
survival,unconstrained,acute_l0,0.3273855666348546,0.10831938701473763,3.0224097057557335,0.002507708841570142,odds_ratio,1.3873362846544035,1.121962706445495,1.7154776675388423
survival,unconstrained,acute_l1,0.7860508222771373,0.1262297569949857,6.2271435910976365,4.750157352443621e-10,odds_ratio,2.1947119816691636,1.7136755334780516,2.810777529574784
survival,unconstrained,acute_l2,1.1319821035700752,0.13524614209054536,8.369792188321567,5.771993481246625e-17,odds_ratio,3.101798496951398,2.3795220901755063,4.043313552504286
survival,unconstrained,acute_l3,-0.031113481472162443,0.09940118081874469,-0.3130091736927856,0.7542736925164958,odds_ratio,0.9693655618030064,0.7977661290301726,1.1778760193190887
survival,unconstrained,context_l0,0.21331288997378048,0.108941629225669,1.9580475479388129,0.05022443364359714,odds_ratio,1.237771877071065,0.9997873193112142,1.5324051326471382
survival,unconstrained,context_l1,-0.04893587961690166,0.13697721904964866,-0.3572556075851153,0.7209004600026213,odds_ratio,0.9522421858747719,0.7280313060062443,1.245503006641017
survival,unconstrained,context_l2,0.18410326114671935,0.18913163526227256,0.9734133630866129,0.3303479000287278,odds_ratio,1.2021399510372557,0.8297799415833215,1.7415948367254468
survival,unconstrained,context_l3,-0.2755781786851394,0.16901598189958783,-1.6304859196620827,0.10299883868859401,odds_ratio,0.7591330817479363,0.5450653936281776,1.0572732052720206
survival,unconstrained,catastrophic_l0,-2.0991951750874214,0.31722042423040164,-6.617465379728345,3.6540975556687206e-11,odds_ratio,0.12255502390794294,0.06581238696771628,0.22822046999213488
survival,unconstrained,catastrophic_l1,-3.1449173027211876,0.9075527297637898,-3.4652722641688496,5.296949332102219e-4,odds_ratio,0.04307048571152437,0.0072720237725613195,0.2550963524660263
survival,unconstrained,catastrophic_l3,-15.538904367014162,29.75952727636179,-0.5221488978205923,0.6015666631445709,odds_ratio,1.784594616691271e-7,8.312249250056419e-33,3831427391210472400
