size_class,data_type,n_reliable,n_uncertain,pct_reliable
SC1,survival,4,220,1.79
SC2,survival,8,17,32
SC3,survival,15,0,100
SC4,survival,7,0,100
SC5,survival,5,0,100
Unknown,survival,6,48,11.11
SC1,growth,3,12,20
