element,point_estimate,boot_mean,ci_lower,ci_upper,boot_sd,n_valid
SC5_stasis,0.5692135165680757,0.5182512492413899,0,0.7532015618701888,0.16844010296817005,2000
SC4_stasis,0.14230755531869804,0.141844755521731,0.03544966572996822,0.2224884330458684,0.04203284388152946,2000
SC3_stasis,0.061058332061785625,0.09423641846545222,0.023292673556733135,0.5603746792654056,0.11539982864696807,2000
SC5_to_SC4,0.032100011965020846,0.029975684691917356,0,0.0421740049976924,0.008492695393362969,2000
SC4_to_SC3,0.01058957220685166,0.015457363431199363,0.004015232603548166,0.07061485473988968,0.01617197608462259,2000
fragmentation_total,0.05790074262020033,0.05398247512982237,0.013348340130112626,0.07599907560080775,0.013661536942420303,2000
