model_component,scenario,model_class,family,nobs,k,logLik,AIC,BIC,pooled_survival,ci_lower,ci_upper,I2,tau2,pi_lower,pi_upper,overdispersion_ratio,overdispersion_p,overdispersed,note
meta_analysis,All data,rma.uni,random-effects meta-analysis,7294,6,-5.125079413003629,14.250158826007258,13.469034650875459,0.7591189974871533,0.6094680440094108,0.8642015579687724,98.41999974376417,0.4100306891803116,0.3448101402351287,0.9496761594881975,NA,NA,NA,Knapp-Hartung REML meta-analysis on study-level PLO effects; scenario guardrails are exported separately.
meta_analysis,Exclude disease 2014,rma.uni,random-effects meta-analysis,6280,6,-5.331163785667648,14.662327571335297,13.881203396203498,0.7857890757232848,0.6380159230525213,0.8841869715385474,97.99503434366707,0.45655544642923684,0.35766660212375384,0.9602643828495159,NA,NA,NA,Knapp-Hartung REML meta-analysis on study-level PLO effects; scenario guardrails are exported separately.
meta_analysis,Exclude NOAA storm,rma.uni,random-effects meta-analysis,6734,6,-5.133223679903655,14.26644735980731,13.485323184675511,0.7592683540591273,0.6093812892049073,0.8644359148681519,98.34245831079825,0.41152789549995183,0.3442662776419344,0.9498689908150081,NA,NA,NA,Knapp-Hartung REML meta-analysis on study-level PLO effects; scenario guardrails are exported separately.
meta_analysis,Exclude baseline-exclusion events,rma.uni,random-effects meta-analysis,4157,5,-5.4011837943749645,14.802367588749929,13.57495631098971,0.7555570225703585,0.4926940845235164,0.907725327618905,98.2998253188039,0.8278957873925847,0.16105277285467742,0.9803023576541197,NA,NA,NA,Knapp-Hartung REML meta-analysis on study-level PLO effects; scenario guardrails are exported separately.
meta_analysis,Exclude all timeline context,not_fit,random-effects meta-analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scenario did not yield a valid meta-analysis
gam,All data,gam,binomial,6141,NA,-2676.359520642635,5360.131788537846,5385.048785423578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,r.sq = 0.084; deviance explained = 9.0%; smooth edf = 2.51; ref.df = 2.83
gam,Exclude baseline-exclusion events,gam,binomial,3800,NA,-1297.8207627959064,2601.452990294871,2619.592769371328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,r.sq = 0.068; deviance explained = 8.7%; smooth edf = 1.56; ref.df = 1.91
gam,Exclude all timeline context,gam,binomial,263,NA,-74.6455943358654,153.2915344048641,160.43645997522276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,r.sq = 0.056; deviance explained = 7.1%; smooth edf = 1.00; ref.df = 1.00
glmm,Neely disease effect,glmerMod,binomial,2215,NA,-1064.909007890204,2137.818015780408,2160.630046510325,NA,NA,NA,NA,NA,NA,NA,0.9116986260008086,0.9987235350574646,FALSE,disease OR = 0.159; disease p = 4.737e-34; singular = FALSE
