"model","group","variance","std_dev"
"S_ME1_null","study",1.02308467201151,1.01147648119544
"S_ME2_linear","study",1.53381707839425,1.23847368901977
"S_ME3_categorical","study",1.28407721071585,1.13317130687105
"S_ME4_random_slope","study",1.95199505522232,1.39713816611755
"S_ME4_random_slope","study",0.089767626779387,0.299612460988169
"S_ME4_random_slope","study",-0.219154374147665,-0.523541261111231
"G_ME1_null","study",12062.8458402755,109.83098761404
"G_ME1_null","Residual",11906109.0556274,3450.52301189651
"G_ME2_linear","study",4311.44958418932,65.6616294664496
"G_ME2_linear","Residual",11887385.3806827,3447.80877959939
"G_ME3_categorical","study",6937.50594325276,83.2916919221405
"G_ME3_categorical","Residual",11904972.2304846,3450.35827567001
"G_ME4_random_slope","study",30697.8286756432,175.207958368458
"G_ME4_random_slope","study",1877.28941850897,43.3276980522733
"G_ME4_random_slope","study",-7591.3575165438,-1
"G_ME4_random_slope","Residual",11881856.1224288,3447.00683527445
