method,sig_criteria,threshold_mean,threshold_se,ci_lower,ci_upper,n_detected,n_folds,detection_frac
abs_max_d2,none,4.041158125903573,0.26211729241240234,3.6079338782785717,5.175664124371545,7,7,1
abs_max_d2,sim_int,3.90577554852076,0.2655707924676841,3.6079338782785717,5.036220069667248,6,7,0.8571428571428571
min_d2,none,3.635010393755134,0.01210898583988374,3.6079338782785717,3.6620869092316966,6,7,0.8571428571428571
min_d2,sim_int,3.635010393755134,0.01210898583988374,3.6079338782785717,3.6620869092316966,6,7,0.8571428571428571
zero_d2,none,4.377680532540851,0.13354660784666686,3.7108246370895093,4.555611919958261,7,7,1
zero_d2,sim_int,4.793885256152013,0.2790851988605863,4.5014588890051375,5.774055116403579,5,7,0.7142857142857143
zero_d1,none,2.931020991364507,0.07658395081751963,2.680563223206303,3.1814787595227108,6,7,0.8571428571428571
zero_d1,sim_int,NA,NA,NA,NA,0,7,0
