analysis,k_effects,k_studies,pooled_survival,ci_lower,ci_upper,I2,rob_slope,rob_p_value,mean_rob_score
Full model (all studies),22,17,0.7942003865337627,0.7218570888770423,0.8515959542382984,97.22676217821336,NA,NA,7.454545454545455
RoB > 5 only,18,13,0.7964269028490034,0.7163421709595231,0.8583716952499336,97.40196650944453,NA,NA,8.055555555555555
RoB meta-regression slope,22,17,NA,NA,NA,96.52399010775916,0.17636703736251155,NA,NA
RoB meta-regression p-value,22,17,NA,NA,NA,NA,NA,0.10848481742651761,NA
