category,artifact,script,path,exists,size_bytes,modified_time,md5,generated_this_run
prepared_data,prepared_survival_data,01_data_preparation.R,06_analysis/output/prepared_survival_data.rds,TRUE,224977,2026-04-04 16:11:07,2cbdf882d01c4ee56e5db2628c81d996,FALSE
prepared_data,prepared_growth_data,01_data_preparation.R,06_analysis/output/prepared_growth_data.rds,TRUE,396623,2026-04-04 16:11:07,3578567535e52c1bbbddb15d2cebcff9,FALSE
core_results,survival_thresholds,02_survival_thresholds.R,06_analysis/output/survival_thresholds.csv,TRUE,1347,2026-04-03 12:50:15,2ddc2b2d59be7988cc5dd4c912369132,FALSE
core_results,growth_thresholds,03_growth_thresholds.R,06_analysis/output/growth_thresholds.csv,TRUE,2231,2026-04-03 12:50:27,5d358cce3b6b8706ef2e1116c3e0edad,FALSE
core_results,expanded_meta_analysis_results,14b_expanded_meta_analysis.R,06_analysis/output/expanded_meta_analysis_results.csv,TRUE,818,2026-04-03 14:08:07,37e9adb6a778422ca6144e112929e3f0,FALSE
core_results,population_parameters,13_transition_matrix.R,06_analysis/output/population_parameters.csv,TRUE,2187,2026-04-03 14:07:59,aa2365936743058cce2de456f7d7a230,FALSE
core_results,vital_rate_elasticity,13_transition_matrix.R,06_analysis/output/vital_rate_elasticity.csv,TRUE,230,2026-04-03 14:07:59,7e358c50be940b02323557867309b2f5,FALSE
disturbance_results,disturbance_sensitivity_summary,30_disturbance_sensitivity.R,06_analysis/output/disturbance_sensitivity_summary.csv,TRUE,703,2026-04-03 14:09:58,5164d6e874f5a23256b699e0257cc660,FALSE
disturbance_results,disturbance_event_catalog,34_disturbance_summaries.R,06_analysis/output/disturbance_event_catalog.csv,TRUE,4931,2026-04-03 14:16:01,9bc89a778293a5c8370e340d496fe606,FALSE
disturbance_results,shrinkage_retrogression_size_class_summary,36_shrinkage_retrogression_summary.R,06_analysis/output/shrinkage_retrogression_size_class_summary.csv,TRUE,2217,2026-04-03 14:16:04,c5689d5e276e312bc076c4cf545fc532,FALSE
disturbance_results,disturbance_size_survival_model,37_disturbance_size_interaction.R,06_analysis/output/disturbance_size_survival_model.csv,TRUE,1174,2026-04-03 14:16:15,ed1583afe44ee4de15345475c145638f,FALSE
disturbance_results,study_window_disturbance_audit,38_study_window_disturbance_audit.R,06_analysis/output/study_window_disturbance_audit.csv,TRUE,590734,2026-04-03 14:16:18,208710c32cf955074b072ebf8e5290ad,FALSE
disturbance_results,restoration_subtype_sensitivity,39_restoration_subtype_sensitivity.R,06_analysis/output/restoration_subtype_sensitivity.csv,TRUE,293,2026-04-03 14:16:20,339c8c5c691fd74bb3e86312f2861627,FALSE
verification,canonical_statistics,23_verification.R,06_analysis/output/canonical_statistics.csv,TRUE,5695,2026-04-04 16:13:43,d227e4ef67cd3e922a96288c223a6b05,TRUE
verification,pipeline_assertion_checks,23_verification.R,06_analysis/output/pipeline_assertion_checks.csv,TRUE,500,2026-04-04 16:11:05,15167bc179a42e8bc6895a329b1f0870,FALSE
pipeline_audit,standardized_data_inventory,01_data_preparation.R,06_analysis/output/standardized_data_inventory.csv,TRUE,4054,2026-04-04 16:13:43,affffc1e67d662c9f2eed2f02b06bbc1,TRUE
pipeline_audit,canonical_artifact_status,48_pipeline_refresh_audit.R,06_analysis/output/canonical_artifact_status.csv,TRUE,8070,2026-04-04 16:13:43,19f1cbbed55c65e115aa6a442c6ee2c7,TRUE
pipeline_audit,pipeline_artifact_freshness,48_pipeline_refresh_audit.R,06_analysis/output/pipeline_artifact_freshness.csv,TRUE,8070,2026-04-04 16:13:43,19f1cbbed55c65e115aa6a442c6ee2c7,TRUE
manuscript_figures,Fig1_study_landscape,18_fig1_study_landscape.R,06_analysis/figures/manuscript/Fig1_study_landscape.png,TRUE,334110,2026-04-03 14:09:19,b95524f114b903452ec543d80138b0b2,FALSE
manuscript_figures,Fig2_demographic_rates,19_fig2_demographic_rates.R,06_analysis/figures/manuscript/Fig2_demographic_rates.png,TRUE,530954,2026-04-03 14:09:22,d039c849e5ac6061d4e7f2f3eeaf0b24,FALSE
manuscript_figures,Fig3_caribbean_synthesis,20b_fig_expanded_forest_plot.R,06_analysis/figures/manuscript/Fig3_caribbean_synthesis.png,TRUE,508538,2026-04-03 14:09:26,4ea48cc278a98d710c1215f5a6a53a80,FALSE
manuscript_figures,Fig4_population_model,22_fig6_population_model.R,06_analysis/figures/manuscript/Fig4_population_model.png,TRUE,230546,2026-04-03 14:09:34,5531e1fb7af2291b71fd5134f9752d1b,FALSE
supplementary_figures,FigS1_size_distribution,18_fig1_study_landscape.R,06_analysis/figures/supplementary/FigS1_size_distribution.png,TRUE,84555,2026-04-03 14:09:19,07589a072f892d41b56e2ce07ee4c0f7,FALSE
supplementary_figures,FigS2_data_gaps,23_figS2_data_gaps.R,06_analysis/figures/supplementary/FigS2_data_gaps.png,TRUE,147827,2026-04-03 14:09:36,f1a82d6ad41fe7534628527639ee74a4,FALSE
supplementary_figures,FigS5_threshold_analysis,25_supp_S5_S6_S7_thresholds_growth.R,06_analysis/figures/supplementary/FigS5_threshold_analysis.png,TRUE,184426,2026-04-03 14:09:42,c9417c852f931a39c1730501392268d4,FALSE
supplementary_figures,FigS8_natural_vs_restoration,21_fig3_natural_vs_restoration.R,06_analysis/figures/supplementary/FigS8_natural_vs_restoration.png,TRUE,469498,2026-04-03 14:09:31,9ecb9940df4576fc310764d434a8a413,FALSE
supplementary_figures,FigS10_context_comparison,27_supp_S10_S11.R,06_analysis/figures/supplementary/FigS10_context_comparison.png,TRUE,102675,2026-04-03 14:09:49,4497938661276279688443430688587c,FALSE
supplementary_figures,FigS12_sensitivity,28_supp_S12_S13_S14.R,06_analysis/figures/supplementary/FigS12_sensitivity.png,TRUE,209339,2026-04-03 14:09:52,77407f46c139a0cd902e44d3a51e4f0d,FALSE
supplementary_figures,FigS15_regional_survival,20c_fig_regional_survival.R,06_analysis/figures/supplementary/FigS15_regional_survival.png,TRUE,175386,2026-04-03 14:09:29,abb37cb3835c0cde29eec9debb00a845,FALSE
supplementary_figures,FigS16_shrinkage_retrogression_summary,36_shrinkage_retrogression_summary.R,06_analysis/figures/supplementary/FigS16_shrinkage_retrogression_summary.png,TRUE,288498,2026-04-03 14:16:05,0c4f464128315e11161853df0bc2c4fc,FALSE
supplementary_figures,FigS17_disturbance_size_interaction,37_disturbance_size_interaction.R,06_analysis/figures/supplementary/FigS17_disturbance_size_interaction.png,TRUE,309467,2026-04-03 14:16:16,7ef250e627f946f81919ebeab605469a,FALSE
supplementary_figures,FigS18_disturbance_summary,34_disturbance_summaries.R,06_analysis/figures/supplementary/FigS18_disturbance_summary.png,TRUE,427998,2026-04-03 14:16:02,4291b0ac4a71a29bcfad20f9e2e07e49,FALSE
supplementary_figures,FigS19_restoration_subtype_sensitivity,39_restoration_subtype_sensitivity.R,06_analysis/figures/supplementary/FigS19_restoration_subtype_sensitivity.png,TRUE,120981,2026-04-03 14:16:20,79ee0264bce0385817e74d992160805a,FALSE
supplementary_figures,FigS11_climate_demography,27_supp_S10_S11.R,06_analysis/figures/supplementary/FigS11_climate_demography.png,TRUE,181871,2026-04-03 14:09:50,e59a279d45bc4bc7b126922c400858bc,FALSE
supplementary_tables,TableS1_disturbance_chronology,34_disturbance_summaries.R,07_reporting/tables/TableS1_disturbance_chronology.md,TRUE,5103,2026-04-03 14:16:02,aa635e0f0bee4191bb5c4f8fc1db2d83,FALSE
